crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	5.184999	5369	6773211136.000000
281474976710655.000000	5.190279	5370	6774227968.000000
281474976710655.000000	5.092438	5371	6775279616.000000
281474976710655.000000	5.371271	5372	6776294912.000000
281474976710655.000000	5.184588	5373	6777347072.000000
281474976710655.000000	5.244591	5374	6778362880.000000
281474976710655.000000	5.253851	5375	6779415040.000000
281474976710655.000000	5.193300	5376	6780431360.000000
281474976710655.000000	5.210673	5377	6781481984.000000
281474976710655.000000	5.289941	5378	6782498816.000000
281474976710655.000000	5.307625	5379	6783549440.000000
281474976710655.000000	5.236790	5380	6784567808.000000
281474976710655.000000	5.294312	5381	6785614848.000000
281474976710655.000000	5.266241	5382	6786637312.000000
281474976710655.000000	5.185020	5383	6787681792.000000
281474976710655.000000	5.245766	5384	6788706304.000000
281474976710655.000000	5.388141	5385	6789747200.000000
281474976710655.000000	5.286558	5386	6790775808.000000
281474976710655.000000	5.210380	5387	6791813120.000000
281474976710655.000000	5.343928	5388	6792845312.000000
281474976710655.000000	5.269768	5389	6793879040.000000
281474976710655.000000	5.208062	5390	6794914816.000000
281474976710655.000000	5.196083	5391	6795945984.000000
281474976710655.000000	5.285715	5392	6796983808.000000
281474976710655.000000	5.293952	5393	6798013440.000000
281474976710655.000000	5.184940	5394	6799051776.000000
281474976710655.000000	5.375147	5395	6800080896.000000
281474976710655.000000	5.405903	5396	6801119744.000000
281474976710655.000000	5.327817	5397	6802148352.000000
281474976710655.000000	5.206608	5398	6803187200.000000
281474976710655.000000	5.301981	5399	6804216320.000000
281474976710655.000000	5.281836	5400	6805254656.000000
281474976710655.000000	5.286923	5401	6806285312.000000
281474976710655.000000	5.223503	5402	6807321088.000000
281474976710655.000000	5.209556	5403	6808353792.000000
281474976710655.000000	5.235724	5404	6809387520.000000
281474976710655.000000	5.286064	5405	6810422784.000000
281474976710655.000000	5.310216	5406	6811453952.000000
281474976710655.000000	5.146562	5407	6812492288.000000
281474976710655.000000	5.353828	5408	6813519360.000000
281474976710655.000000	5.379284	5409	6814561792.000000
281474976710655.000000	5.258365	5410	6815585280.000000
281474976710655.000000	5.436467	5411	6816630784.000000
281474976710655.000000	5.423451	5412	6817652224.000000
281474976710655.000000	5.395300	5413	6818699776.000000
281474976710655.000000	5.335837	5414	6819718656.000000
281474976710655.000000	5.214602	5415	6820768768.000000
281474976710655.000000	5.262292	5416	6821785600.000000
281474976710655.000000	5.180140	5417	6822837248.000000
281474976710655.000000	5.231657	5418	6823853568.000000
281474976710655.000000	5.211698	5419	6824904704.000000
281474976710655.000000	5.304155	5420	6825920512.000000
281474976710655.000000	5.194978	5421	6826972672.000000
281474976710655.000000	5.375965	5422	6827988480.000000
281474976710655.000000	5.261974	5423	6829040128.000000
281474976710655.000000	5.179554	5424	6830056448.000000
281474976710655.000000	5.206654	5425	6831108096.000000
281474976710655.000000	5.266113	5426	6832123904.000000
281474976710655.000000	5.170595	5427	6833176064.000000
281474976710655.000000	5.240093	5428	6834191872.000000
281474976710655.000000	5.178021	5429	6835243520.000000
281474976710655.000000	5.224883	5430	6836259840.000000
281474976710655.000000	5.212853	5431	6837311488.000000
281474976710655.000000	5.392862	5432	6838327296.000000
281474976710655.000000	5.272416	5433	6839378944.000000
281474976710655.000000	5.295215	5434	6840395264.000000
281474976710655.000000	5.313917	5435	6841446912.000000
281474976710655.000000	5.415392	5436	6842463744.000000
281474976710655.000000	5.299163	5437	6843514368.000000
281474976710655.000000	5.386886	5438	6844532224.000000
281474976710655.000000	5.354456	5439	6845580800.000000
281474976710655.000000	5.425625	5440	6846600192.000000
281474976710655.000000	5.199520	5441	6847647232.000000
281474976710655.000000	5.280385	5442	6848669696.000000
281474976710655.000000	5.309041	5443	6849713664.000000
281474976710655.000000	5.209801	5444	6850738688.000000
281474976710655.000000	5.254661	5445	6851779072.000000
281474976710655.000000	5.269508	5446	6852808192.000000
281474976710655.000000	5.298630	5447	6853846016.000000
281474976710655.000000	5.327586	5448	6854877184.000000
281474976710655.000000	5.320745	5449	6855912448.000000
281474976710655.000000	5.243209	5450	6856946176.000000
281474976710655.000000	5.270045	5451	6857979392.000000
281474976710655.000000	5.344048	5452	6859014656.000000
281474976710655.000000	5.385530	5453	6860046336.000000
281474976710655.000000	5.342975	5454	6861083136.000000
281474976710655.000000	5.360944	5455	6862113792.000000
281474976710655.000000	5.179570	5456	6863151104.000000
281474976710655.000000	5.228827	5457	6864181760.000000
281474976710655.000000	5.343946	5458	6865218560.000000
281474976710655.000000	5.307369	5459	6866249728.000000
281474976710655.000000	5.279433	5460	6867285504.000000
281474976710655.000000	5.136500	5461	6868318208.000000
281474976710655.000000	5.423578	5462	6869351936.000000
281474976710655.000000	5.335574	5463	6870387200.000000
281474976710655.000000	5.356916	5464	6871418880.000000
281474976710655.000000	5.286487	5465	6872456192.000000
281474976710655.000000	5.290452	5466	6873484288.000000
281474976710655.000000	5.337304	5467	6874525696.000000
281474976710655.000000	5.349496	5468	6875551232.000000
281474976710655.000000	5.350560	5469	6876594688.000000
281474976710655.000000	5.270094	5470	6877617664.000000
281474976710655.000000	5.192441	5471	6878663680.000000
281474976710655.000000	5.478465	5472	6879684096.000000
281474976710655.000000	5.164418	5473	6880732672.000000
281474976710655.000000	5.434859	5474	6881751040.000000
281474976710655.000000	5.224786	5475	6882801152.000000
281474976710655.000000	5.312656	5476	6883817984.000000
281474976710655.000000	5.314573	5477	6884869632.000000
281474976710655.000000	5.390942	5478	6885885952.000000
281474976710655.000000	5.181524	5479	6886937600.000000
281474976710655.000000	5.216165	5480	6887953920.000000
281474976710655.000000	5.195173	5481	6889005056.000000
281474976710655.000000	5.208356	5482	6890020864.000000
281474976710655.000000	5.208294	5483	6891073024.000000
281474976710655.000000	5.323863	5484	6892088832.000000
281474976710655.000000	5.173008	5485	6893140480.000000
281474976710655.000000	5.174006	5486	6894156800.000000
281474976710655.000000	5.143456	5487	6895208448.000000
281474976710655.000000	5.276976	5488	6896224256.000000
281474976710655.000000	5.276311	5489	6897276416.000000
281474976710655.000000	5.220639	5490	6898292224.000000
281474976710655.000000	5.209036	5491	6899344384.000000
281474976710655.000000	5.311910	5492	6900360192.000000
281474976710655.000000	5.235908	5493	6901411840.000000
281474976710655.000000	5.305415	5494	6902428160.000000
281474976710655.000000	5.314207	5495	6903479296.000000
281474976710655.000000	5.278056	5496	6904496640.000000
281474976710655.000000	5.133772	5497	6905546752.000000
281474976710655.000000	5.302135	5498	6906564608.000000
281474976710655.000000	5.306046	5499	6907613184.000000
281474976710655.000000	5.405130	5500	6908634112.000000
281474976710655.000000	5.248713	5501	6909679616.000000
281474976710655.000000	5.355772	5502	6910702080.000000
281474976710655.000000	5.218402	5503	6911746560.000000
281474976710655.000000	5.451339	5504	6912771584.000000
281474976710655.000000	5.227082	5505	6913811968.000000
281474976710655.000000	5.314186	5506	6914840576.000000
281474976710655.000000	5.294279	5507	6915879424.000000
281474976710655.000000	5.363610	5508	6916910080.000000
281474976710655.000000	5.258972	5509	6917944832.000000
281474976710655.000000	5.300488	5510	6918978560.000000
281474976710655.000000	5.227081	5511	6920012800.000000
281474976710655.000000	5.349739	5512	6921047040.000000
281474976710655.000000	5.247747	5513	6922079744.000000
281474976710655.000000	5.339788	5514	6923115520.000000
281474976710655.000000	5.300023	5515	6924147200.000000
281474976710655.000000	5.271894	5516	6925182464.000000
281474976710655.000000	5.199978	5517	6926215168.000000
281474976710655.000000	5.307909	5518	6927250432.000000
281474976710655.000000	5.338822	5519	6928283136.000000
281474976710655.000000	5.415988	5520	6929317376.000000
281474976710655.000000	5.260365	5521	6930351616.000000
281474976710655.000000	5.356905	5522	6931384320.000000
281474976710655.000000	5.176709	5523	6932420096.000000
281474976710655.000000	5.300028	5524	6933450752.000000
281474976710655.000000	5.240787	5525	6934489600.000000
281474976710655.000000	5.404003	5526	6935517184.000000
281474976710655.000000	5.352252	5527	6936558592.000000
281474976710655.000000	5.258031	5528	6937583616.000000
281474976710655.000000	5.268684	5529	6938628096.000000
281474976710655.000000	5.304114	5530	6939649024.000000
281474976710655.000000	5.120696	5531	6940697088.000000
281474976710655.000000	5.351242	5532	6941716480.000000
281474976710655.000000	5.218365	5533	6942765056.000000
281474976710655.000000	5.284733	5534	6943783424.000000
281474976710655.000000	5.254611	5535	6944833536.000000
281474976710655.000000	5.325205	5536	6945850880.000000
281474976710655.000000	5.108036	5537	6946902016.000000
281474976710655.000000	5.405246	5538	6947918336.000000
281474976710655.000000	5.327398	5539	6948969984.000000
281474976710655.000000	5.596852	5540	6949985280.000000
281474976710655.000000	5.132906	5541	6951037952.000000
281474976710655.000000	5.325078	5542	6952053248.000000
281474976710655.000000	5.181039	5543	6953105408.000000
281474976710655.000000	5.253704	5544	6954121216.000000
281474976710655.000000	5.107185	5545	6955173888.000000
281474976710655.000000	5.424836	5546	6956188672.000000
281474976710655.000000	5.248278	5547	6957241344.000000
281474976710655.000000	5.286815	5548	6958256640.000000
281474976710655.000000	5.334879	5549	6959309312.000000
281474976710655.000000	5.207553	5550	6960324608.000000
281474976710655.000000	5.227684	5551	6961376768.000000
281474976710655.000000	5.380940	5552	6962392064.000000
281474976710655.000000	5.204966	5553	6963444736.000000
281474976710655.000000	5.167312	5554	6964460032.000000
281474976710655.000000	5.211838	5555	6965511680.000000
281474976710655.000000	5.369244	5556	6966528512.000000
281474976710655.000000	5.259082	5557	6967578112.000000
281474976710655.000000	5.374805	5558	6968596992.000000
281474976710655.000000	5.233037	5559	6969645568.000000
281474976710655.000000	5.340444	5560	6970665472.000000
281474976710655.000000	5.353774	5561	6971712512.000000
281474976710655.000000	5.269088	5562	6972734976.000000
281474976710655.000000	5.304958	5563	6973778944.000000
281474976710655.000000	5.245928	5564	6974803456.000000
281474976710655.000000	5.394061	5565	6975844352.000000
281474976710655.000000	5.311414	5566	6976872448.000000
281474976710655.000000	5.274457	5567	6977911808.000000
281474976710655.000000	5.376816	5568	6978940928.000000
281474976710655.000000	5.298321	5569	6979978752.000000
281474976710655.000000	5.403164	5570	6981009920.000000
281474976710655.000000	5.393219	5571	6982044160.000000
281474976710655.000000	5.283825	5572	6983077888.000000
281474976710655.000000	5.362667	5573	6984112640.000000
281474976710655.000000	5.223465	5574	6985146880.000000
281474976710655.000000	5.301197	5575	6986180608.000000
281474976710655.000000	5.175531	5576	6987213824.000000
281474976710655.000000	5.262632	5577	6988248576.000000
281474976710655.000000	5.411845	5578	6989281280.000000
281474976710655.000000	5.305795	5579	6990316544.000000
281474976710655.000000	5.369628	5580	6991348224.000000
281474976710655.000000	5.453452	5581	6992385024.000000
281474976710655.000000	5.213336	5582	6993415168.000000
281474976710655.000000	5.259560	5583	6994453504.000000
281474976710655.000000	5.449357	5584	6995482112.000000
281474976710655.000000	5.237337	5585	6996522496.000000
281474976710655.000000	5.210299	5586	6997548544.000000
281474976710655.000000	5.269116	5587	6998591488.000000
281474976710655.000000	5.384868	5588	6999615488.000000
281474976710655.000000	5.275285	5589	7000659968.000000
281474976710655.000000	5.341908	5590	7001680896.000000
281474976710655.000000	5.320867	5591	7002728960.000000
281474976710655.000000	5.323949	5592	7003748864.000000
281474976710655.000000	5.256015	5593	7004797952.000000
281474976710655.000000	5.395071	5594	7005815808.000000
281474976710655.000000	5.231967	5595	7006865920.000000
281474976710655.000000	5.418129	5596	7007883264.000000
281474976710655.000000	5.364866	5597	7008933888.000000
281474976710655.000000	5.156041	5598	7009950208.000000
281474976710655.000000	5.148989	5599	7011001856.000000
281474976710655.000000	5.348117	5600	7012018176.000000
281474976710655.000000	5.091017	5601	7013070336.000000
281474976710655.000000	5.193935	5602	7014085632.000000
281474976710655.000000	5.209834	5603	7015137792.000000
281474976710655.000000	5.236318	5604	7016153088.000000
281474976710655.000000	5.271088	5605	7017205248.000000
281474976710655.000000	5.387297	5606	7018221056.000000
281474976710655.000000	4.956285	5607	7019273216.000000
281474976710655.000000	5.162127	5608	7020289024.000000
281474976710655.000000	5.320544	5609	7021340672.000000
281474976710655.000000	5.271223	5610	7022356992.000000
281474976710655.000000	5.357861	5611	7023408640.000000
281474976710655.000000	5.059968	5612	7024424448.000000
281474976710655.000000	5.297961	5613	7025476096.000000
281474976710655.000000	5.362457	5614	7026492928.000000
281474976710655.000000	5.266526	5615	7027542528.000000
281474976710655.000000	5.321800	5616	7028561408.000000
281474976710655.000000	5.272318	5617	7029609472.000000
281474976710655.000000	5.376544	5618	7030629888.000000
281474976710655.000000	5.337004	5619	7031676416.000000
281474976710655.000000	5.353540	5620	7032698368.000000
281474976710655.000000	5.250034	5621	7033743360.000000
281474976710655.000000	5.253550	5622	7034767360.000000
281474976710655.000000	5.312601	5623	7035810304.000000
281474976710655.000000	5.257142	5624	7036835840.000000
281474976710655.000000	5.306832	5625	7037875712.000000
281474976710655.000000	5.342475	5626	7038904832.000000
281474976710655.000000	5.248695	5627	7039943680.000000
281474976710655.000000	5.348203	5628	7040973312.000000
281474976710655.000000	5.251209	5629	7042010624.000000
281474976710655.000000	5.379897	5630	7043041792.000000
281474976710655.000000	5.165335	5631	7044077568.000000
281474976710655.000000	5.161143	5632	7045110272.000000
281474976710655.000000	5.145939	5633	7046145024.000000
281474976710655.000000	5.258008	5634	7047177728.000000
281474976710655.000000	5.335515	5635	7048212992.000000
281474976710655.000000	5.269734	5636	7049245184.000000
281474976710655.000000	5.161762	5637	7050280960.000000
281474976710655.000000	5.172817	5638	7051313152.000000
281474976710655.000000	5.252151	5639	7052349440.000000
281474976710655.000000	5.285025	5640	7053380096.000000
281474976710655.000000	5.279451	5641	7054417920.000000
281474976710655.000000	5.371325	5642	7055447040.000000
281474976710655.000000	5.305398	5643	7056486912.000000
281474976710655.000000	5.298108	5644	7057513472.000000
281474976710655.000000	5.324986	5645	7058555392.000000
281474976710655.000000	5.319444	5646	7059580416.000000
281474976710655.000000	5.251186	5647	7060624384.000000
281474976710655.000000	5.280433	5648	7061646848.000000
281474976710655.000000	5.328584	5649	7062692352.000000
281474976710655.000000	5.360508	5650	7063713792.000000
281474976710655.000000	5.252749	5651	7064761344.000000
281474976710655.000000	5.345546	5652	7065781248.000000
281474976710655.000000	5.283307	5653	7066829824.000000
281474976710655.000000	5.303605	5654	7067848192.000000
281474976710655.000000	5.214695	5655	7068897792.000000
281474976710655.000000	5.682942	5656	7069915136.000000
281474976710655.000000	5.199104	5657	7070966272.000000
281474976710655.000000	5.247058	5658	7071983104.000000
281474976710655.000000	5.400990	5659	7073034240.000000
281474976710655.000000	5.244180	5660	7074050560.000000
281474976710655.000000	5.120159	5661	7075101696.000000
281474976710655.000000	5.321256	5662	7076118016.000000
281474976710655.000000	5.198191	5663	7077170176.000000
281474976710655.000000	5.247025	5664	7078185984.000000
281474976710655.000000	5.212642	5665	7079237632.000000
281474976710655.000000	5.329448	5666	7080253952.000000
281474976710655.000000	5.269343	5667	7081305088.000000
281474976710655.000000	5.187651	5668	7082321408.000000
281474976710655.000000	5.329240	5669	7083373056.000000
281474976710655.000000	5.297800	5670	7084389888.000000
281474976710655.000000	5.161401	5671	7085440512.000000
281474976710655.000000	5.333610	5672	7086457856.000000
281474976710655.000000	5.293280	5673	7087507968.000000
281474976710655.000000	5.354899	5674	7088526336.000000
281474976710655.000000	5.210978	5675	7089574912.000000
281474976710655.000000	5.352446	5676	7090594304.000000
281474976710655.000000	5.249414	5677	7091641856.000000
281474976710655.000000	5.417509	5678	7092663296.000000
281474976710655.000000	5.370855	5679	7093708800.000000
281474976710655.000000	5.294161	5680	7094731776.000000
281474976710655.000000	5.278922	5681	7095775744.000000
281474976710655.000000	5.390230	5682	7096800256.000000
281474976710655.000000	5.289560	5683	7097842176.000000
281474976710655.000000	5.369764	5684	7098869248.000000
281474976710655.000000	5.291395	5685	7099909120.000000
281474976710655.000000	5.322494	5686	7100937216.000000
281474976710655.000000	5.395817	5687	7101976064.000000
281474976710655.000000	5.313749	5688	7103006208.000000
281474976710655.000000	5.330440	5689	7104043008.000000
281474976710655.000000	5.314299	5690	7105073664.000000
281474976710655.000000	5.371308	5691	7106110976.000000
281474976710655.000000	5.336385	5692	7107142144.000000
281474976710655.000000	5.291289	5693	7108178432.000000
281474976710655.000000	5.342176	5694	7109210112.000000
281474976710655.000000	5.163800	5695	7110246912.000000
281474976710655.000000	5.381386	5696	7111277056.000000
281474976710655.000000	5.317564	5697	7112314880.000000
281474976710655.000000	5.410534	5698	7113344512.000000
281474976710655.000000	5.257086	5699	7114383360.000000
281474976710655.000000	5.396427	5700	7115411456.000000
281474976710655.000000	5.257998	5701	7116451840.000000
281474976710655.000000	5.258306	5702	7117478400.000000
281474976710655.000000	5.264539	5703	7118520320.000000
281474976710655.000000	5.324304	5704	7119545344.000000
281474976710655.000000	5.244864	5705	7120588800.000000
281474976710655.000000	5.310608	5706	7121611776.000000
281474976710655.000000	5.199445	5707	7122657280.000000
281474976710655.000000	5.365825	5708	7123678720.000000
281474976710655.000000	5.194860	5709	7124726272.000000
281474976710655.000000	5.462441	5710	7125745664.000000
281474976710655.000000	5.222813	5711	7126794240.000000
281474976710655.000000	5.339784	5712	7127813120.000000
281474976710655.000000	5.377011	5713	7128862720.000000
281474976710655.000000	5.334609	5714	7129880576.000000
281474976710655.000000	5.260426	5715	7130930688.000000
281474976710655.000000	5.209599	5716	7131948032.000000
281474976710655.000000	5.237818	5717	7132998656.000000
281474976710655.000000	5.369451	5718	7134015488.000000
281474976710655.000000	5.240882	5719	7135066624.000000
281474976710655.000000	5.208786	5720	7136083456.000000
281474976710655.000000	5.243154	5721	7137134592.000000
281474976710655.000000	5.294010	5722	7138150912.000000
281474976710655.000000	5.239387	5723	7139202560.000000
281474976710655.000000	5.373979	5724	7140218880.000000
281474976710655.000000	5.184055	5725	7141270016.000000
281474976710655.000000	5.307384	5726	7142286336.000000
281474976710655.000000	5.369922	5727	7143337472.000000
281474976710655.000000	5.359464	5728	7144354816.000000
281474976710655.000000	5.377937	5729	7145404928.000000
281474976710655.000000	5.323360	5730	7146422272.000000
281474976710655.000000	5.236143	5731	7147472896.000000
281474976710655.000000	5.293545	5732	7148490752.000000
281474976710655.000000	5.275023	5733	7149539840.000000
281474976710655.000000	5.199345	5734	7150559232.000000
281474976710655.000000	5.214452	5735	7151606784.000000
281474976710655.000000	5.406524	5736	7152627712.000000
281474976710655.000000	5.295581	5737	7153674240.000000
281474976710655.000000	5.399870	5738	7154696192.000000
281474976710655.000000	5.257334	5739	7155740672.000000
281474976710655.000000	5.395928	5740	7156764672.000000
281474976710655.000000	5.199426	5741	7157807616.000000
281474976710655.000000	5.336477	5742	7158833664.000000
281474976710655.000000	5.355542	5743	7159874048.000000
281474976710655.000000	5.097982	5744	7160902144.000000
281474976710655.000000	5.224830	5745	7161941504.000000
281474976710655.000000	5.292308	5746	7162970112.000000
281474976710655.000000	5.198575	5747	7164008448.000000
281474976710655.000000	5.410452	5748	7165039104.000000
281474976710655.000000	5.274858	5749	7166075904.000000
281474976710655.000000	5.329579	5750	7167107072.000000
281474976710655.000000	5.200783	5751	7168143872.000000
281474976710655.000000	5.295653	5752	7169174528.000000
281474976710655.000000	5.360423	5753	7170211840.000000
281474976710655.000000	5.218091	5754	7171241984.000000
281474976710655.000000	5.319366	5755	7172279296.000000
281474976710655.000000	5.327577	5756	7173308928.000000
281474976710655.000000	5.258467	5757	7174347776.000000
281474976710655.000000	5.292133	5758	7175376384.000000
281474976710655.000000	5.241906	5759	7176415744.000000
281474976710655.000000	5.284487	5760	7177443840.000000
281474976710655.000000	5.239582	5761	7178484736.000000
281474976710655.000000	5.397104	5762	7179510784.000000
281474976710655.000000	5.279612	5763	7180553216.000000
281474976710655.000000	5.266569	5764	7181577216.000000
281474976710655.000000	5.231358	5765	7182622208.000000
281474976710655.000000	5.299345	5766	7183644160.000000
281474976710655.000000	5.217158	5767	7184690688.000000
281474976710655.000000	5.470713	5768	7185711104.000000
281474976710655.000000	5.244953	5769	7186758656.000000
281474976710655.000000	5.293022	5770	7187778048.000000
281474976710655.000000	5.270137	5771	7188827136.000000
281474976710655.000000	5.287411	5772	7189845504.000000
281474976710655.000000	5.187596	5773	7190895104.000000
281474976710655.000000	5.331884	5774	7191912960.000000
281474976710655.000000	5.170582	5775	7192963584.000000
281474976710655.000000	5.324542	5776	7193980416.000000
281474976710655.000000	5.268736	5777	7195031040.000000
281474976710655.000000	5.318789	5778	7196048384.000000
281474976710655.000000	5.280116	5779	7197099008.000000
281474976710655.000000	5.179855	5780	7198115840.000000
281474976710655.000000	5.231461	5781	7199166464.000000
281474976710655.000000	5.305273	5782	7200183808.000000
281474976710655.000000	5.195462	5783	7201234944.000000
281474976710655.000000	5.256289	5784	7202251776.000000
281474976710655.000000	5.313334	5785	7203302400.000000
281474976710655.000000	5.326722	5786	7204319744.000000
281474976710655.000000	5.192896	5787	7205369856.000000
281474976710655.000000	5.382227	5788	7206387712.000000
281474976710655.000000	5.366299	5789	7207437312.000000
281474976710655.000000	5.312781	5790	7208456192.000000
281474976710655.000000	5.345723	5791	7209504256.000000
281474976710655.000000	5.261565	5792	7210523648.000000
281474976710655.000000	5.303523	5793	7211571712.000000
281474976710655.000000	5.324986	5794	7212592640.000000
281474976710655.000000	5.255424	5795	7213638144.000000
281474976710655.000000	5.304409	5796	7214661120.000000
281474976710655.000000	5.210076	5797	7215705088.000000
281474976710655.000000	5.313410	5798	7216729600.000000
281474976710655.000000	5.349489	5799	7217772032.000000
281474976710655.000000	5.286183	5800	7218798080.000000
281474976710655.000000	5.257215	5801	7219838976.000000
281474976710655.000000	5.263354	5802	7220866560.000000
281474976710655.000000	5.303340	5803	7221905920.000000
281474976710655.000000	5.315561	5804	7222934528.000000
281474976710655.000000	5.393083	5805	7223973376.000000
281474976710655.000000	5.271034	5806	7225003008.000000
281474976710655.000000	5.304261	5807	7226040320.000000
281474976710655.000000	5.319111	5808	7227070976.000000
281474976710655.000000	5.385171	5809	7228108288.000000
281474976710655.000000	5.329534	5810	7229138432.000000
281474976710655.000000	5.237684	5811	7230175744.000000
281474976710655.000000	5.346890	5812	7231206400.000000
281474976710655.000000	5.259355	5813	7232243712.000000
281474976710655.000000	5.446656	5814	7233273344.000000
281474976710655.000000	5.215677	5815	7234312192.000000
281474976710655.000000	5.352434	5816	7235340288.000000
281474976710655.000000	5.324278	5817	7236380160.000000
281474976710655.000000	5.314474	5818	7237407744.000000
281474976710655.000000	5.357329	5819	7238449152.000000
281474976710655.000000	5.386878	5820	7239474688.000000
281474976710655.000000	5.188528	5821	7240517632.000000
281474976710655.000000	5.274806	5822	7241541632.000000
281474976710655.000000	5.236217	5823	7242585600.000000
281474976710655.000000	5.433898	5824	7243608576.000000
281474976710655.000000	5.321893	5825	7244654592.000000
281474976710655.000000	5.335679	5826	7245675520.000000
281474976710655.000000	5.286517	5827	7246723072.000000
281474976710655.000000	5.281043	5828	7247742976.000000
281474976710655.000000	5.204099	5829	7248791552.000000
281474976710655.000000	5.309849	5830	7249810432.000000
281474976710655.000000	5.245728	5831	7250859520.000000
281474976710655.000000	5.377215	5832	7251877376.000000
281474976710655.000000	5.306684	5833	7252927488.000000
281474976710655.000000	5.447711	5834	7253944832.000000
281474976710655.000000	5.298805	5835	7254995456.000000
281474976710655.000000	5.224092	5836	7256012800.000000
281474976710655.000000	5.299070	5837	7257062912.000000
281474976710655.000000	5.228301	5838	7258080768.000000
281474976710655.000000	5.239822	5839	7259130880.000000
281474976710655.000000	5.522198	5840	7260148224.000000
281474976710655.000000	5.305213	5841	7261198848.000000
281474976710655.000000	5.293235	5842	7262216192.000000
281474976710655.000000	5.329210	5843	7263266304.000000
281474976710655.000000	5.355271	5844	7264284160.000000
281474976710655.000000	5.421752	5845	7265333760.000000
281474976710655.000000	5.164950	5846	7266352128.000000
281474976710655.000000	5.406848	5847	7267400704.000000
281474976710655.000000	5.459640	5848	7268420096.000000
281474976710655.000000	5.275023	5849	7269468160.000000
