crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	5.616519	774	1162545536.000000
281474976710655.000000	5.632947	775	1163558272.000000
281474976710655.000000	5.610091	776	1164584320.000000
281474976710655.000000	5.727844	777	1165592832.000000
281474976710655.000000	5.532468	778	1166620928.000000
281474976710655.000000	5.493412	779	1167627648.000000
281474976710655.000000	5.799444	780	1168658560.000000
281474976710655.000000	5.593712	781	1169663616.000000
281474976710655.000000	5.599308	782	1170695424.000000
281474976710655.000000	5.703034	783	1171698816.000000
281474976710655.000000	5.689205	784	1172732672.000000
281474976710655.000000	5.176478	785	1173734656.000000
281474976710655.000000	5.571437	786	1174769280.000000
281474976710655.000000	5.538897	787	1175770624.000000
281474976710655.000000	5.404221	788	1176805504.000000
281474976710655.000000	5.257745	789	1177807360.000000
281474976710655.000000	5.684570	790	1178842368.000000
281474976710655.000000	5.481762	791	1179844096.000000
281474976710655.000000	5.444623	792	1180877952.000000
281474976710655.000000	5.399522	793	1181881344.000000
281474976710655.000000	5.369007	794	1182913536.000000
281474976710655.000000	5.471847	795	1183918976.000000
281474976710655.000000	5.573483	796	1184948992.000000
281474976710655.000000	5.462755	797	1185956224.000000
281474976710655.000000	5.566862	798	1186984576.000000
281474976710655.000000	5.297098	799	1187994368.000000
281474976710655.000000	5.762999	800	1189019520.000000
281474976710655.000000	5.577518	801	1190031616.000000
281474976710655.000000	5.537917	802	1191055104.000000
281474976710655.000000	5.502606	803	1192068736.000000
281474976710655.000000	5.393477	804	1193091456.000000
281474976710655.000000	5.619151	805	1194105088.000000
281474976710655.000000	5.467847	806	1195127296.000000
281474976710655.000000	5.452084	807	1196141312.000000
281474976710655.000000	5.309478	808	1197164160.000000
281474976710655.000000	5.285519	809	1198177024.000000
281474976710655.000000	5.682266	810	1199200512.000000
281474976710655.000000	5.413313	811	1200213120.000000
281474976710655.000000	5.411325	812	1201237504.000000
281474976710655.000000	5.395411	813	1202249216.000000
281474976710655.000000	5.334736	814	1203274496.000000
281474976710655.000000	5.655201	815	1204285312.000000
281474976710655.000000	5.408062	816	1205310592.000000
281474976710655.000000	5.477551	817	1206322048.000000
281474976710655.000000	5.556992	818	1207348096.000000
