crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	6.258905	5153	5870823424.000000
281474976710655.000000	6.158918	5154	5871859712.000000
281474976710655.000000	5.874094	5155	5872897024.000000
281474976710655.000000	5.984770	5156	5873933824.000000
281474976710655.000000	6.105787	5157	5874970624.000000
281474976710655.000000	6.186024	5158	5876005888.000000
281474976710655.000000	5.980528	5159	5877044224.000000
281474976710655.000000	5.962144	5160	5878080512.000000
281474976710655.000000	5.851665	5161	5879117312.000000
281474976710655.000000	6.152307	5162	5880153600.000000
281474976710655.000000	5.991990	5163	5881190400.000000
281474976710655.000000	5.974257	5164	5882227712.000000
281474976710655.000000	6.068057	5165	5883264000.000000
281474976710655.000000	6.068352	5166	5884300800.000000
281474976710655.000000	6.169588	5167	5885337600.000000
281474976710655.000000	6.023282	5168	5886373888.000000
281474976710655.000000	6.149644	5169	5887411200.000000
281474976710655.000000	6.100403	5170	5888447488.000000
281474976710655.000000	6.105535	5171	5889484800.000000
281474976710655.000000	5.797678	5172	5890521088.000000
281474976710655.000000	6.041249	5173	5891557888.000000
281474976710655.000000	6.031667	5174	5892594688.000000
281474976710655.000000	6.138614	5175	5893631488.000000
281474976710655.000000	6.201480	5176	5894668288.000000
281474976710655.000000	5.992713	5177	5895705088.000000
281474976710655.000000	6.010081	5178	5896741376.000000
281474976710655.000000	6.168522	5179	5897778688.000000
281474976710655.000000	6.067351	5180	5898815488.000000
281474976710655.000000	6.251051	5181	5899851776.000000
281474976710655.000000	5.999642	5182	5900888576.000000
281474976710655.000000	6.129790	5183	5901925376.000000
281474976710655.000000	6.207805	5184	5902962176.000000
281474976710655.000000	6.107540	5185	5903998464.000000
281474976710655.000000	6.030276	5186	5905035264.000000
281474976710655.000000	6.194890	5187	5906072064.000000
281474976710655.000000	6.071458	5188	5907108352.000000
281474976710655.000000	6.097429	5189	5908145664.000000
281474976710655.000000	6.115208	5190	5909182464.000000
281474976710655.000000	6.094625	5191	5910219264.000000
281474976710655.000000	6.151190	5192	5911255552.000000
281474976710655.000000	6.152239	5193	5912292864.000000
281474976710655.000000	6.121860	5194	5913329152.000000
281474976710655.000000	6.060536	5195	5914365952.000000
281474976710655.000000	6.068614	5196	5915402240.000000
281474976710655.000000	6.269440	5197	5916439040.000000
281474976710655.000000	6.079641	5198	5917475840.000000
281474976710655.000000	6.082819	5199	5918512640.000000
281474976710655.000000	5.929183	5200	5919549440.000000
281474976710655.000000	6.068216	5201	5920586240.000000
281474976710655.000000	6.129175	5202	5921623040.000000
281474976710655.000000	6.118328	5203	5922659840.000000
281474976710655.000000	6.164909	5204	5923696128.000000
281474976710655.000000	6.084057	5205	5924733440.000000
281474976710655.000000	6.054928	5206	5925770240.000000
281474976710655.000000	6.249766	5207	5926806528.000000
281474976710655.000000	6.135961	5208	5927843328.000000
281474976710655.000000	6.047866	5209	5928880128.000000
281474976710655.000000	6.089133	5210	5929916416.000000
281474976710655.000000	6.174023	5211	5930953728.000000
281474976710655.000000	6.270080	5212	5931990016.000000
281474976710655.000000	6.102992	5213	5933026816.000000
281474976710655.000000	5.971121	5214	5934064128.000000
281474976710655.000000	6.238932	5215	5935100928.000000
281474976710655.000000	6.077086	5216	5936137216.000000
281474976710655.000000	5.983568	5217	5937174528.000000
281474976710655.000000	5.909182	5218	5938211328.000000
281474976710655.000000	6.051713	5219	5939247616.000000
281474976710655.000000	6.117129	5220	5940283392.000000
281474976710655.000000	6.132028	5221	5941321216.000000
281474976710655.000000	6.064682	5222	5942358016.000000
281474976710655.000000	6.117941	5223	5943394816.000000
281474976710655.000000	6.009562	5224	5944431104.000000
281474976710655.000000	6.167494	5225	5945468416.000000
281474976710655.000000	6.208564	5226	5946504704.000000
281474976710655.000000	6.041980	5227	5947541504.000000
281474976710655.000000	6.097315	5228	5948578304.000000
281474976710655.000000	6.201332	5229	5949615104.000000
281474976710655.000000	6.075589	5230	5950651904.000000
281474976710655.000000	6.064800	5231	5951688704.000000
281474976710655.000000	6.108020	5232	5952724992.000000
281474976710655.000000	6.134881	5233	5953761792.000000
281474976710655.000000	6.152759	5234	5954798592.000000
281474976710655.000000	6.237117	5235	5955835392.000000
281474976710655.000000	6.027959	5236	5956872192.000000
281474976710655.000000	5.946856	5237	5957908992.000000
281474976710655.000000	6.086068	5238	5958945792.000000
281474976710655.000000	6.158639	5239	5959982080.000000
281474976710655.000000	6.046246	5240	5961018880.000000
281474976710655.000000	5.987556	5241	5962055680.000000
281474976710655.000000	6.133599	5242	5963092480.000000
281474976710655.000000	6.226169	5243	5964129280.000000
