crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	4.985775	3071	4977689088.000000
281474976710655.000000	5.235765	3072	4978691584.000000
281474976710655.000000	4.778435	3073	4979715072.000000
281474976710655.000000	5.103392	3074	4980717056.000000
281474976710655.000000	4.719594	3075	4981740032.000000
281474976710655.000000	5.112637	3076	4982743040.000000
281474976710655.000000	4.964900	3077	4983766016.000000
281474976710655.000000	5.298579	3078	4984768512.000000
281474976710655.000000	4.993615	3079	4985790976.000000
281474976710655.000000	5.238260	3080	4986793984.000000
281474976710655.000000	4.888983	3081	4987815936.000000
281474976710655.000000	5.242109	3082	4988819456.000000
281474976710655.000000	4.876858	3083	4989841408.000000
281474976710655.000000	5.066994	3084	4990845952.000000
281474976710655.000000	4.996035	3085	4991866880.000000
281474976710655.000000	5.187147	3086	4992871424.000000
281474976710655.000000	4.876767	3087	4993891840.000000
281474976710655.000000	5.373390	3088	4994896896.000000
281474976710655.000000	5.004509	3089	4995917312.000000
281474976710655.000000	5.178672	3090	4996922368.000000
281474976710655.000000	4.872877	3091	4997943296.000000
281474976710655.000000	5.191783	3092	4998948352.000000
281474976710655.000000	4.977257	3093	4999968768.000000
281474976710655.000000	5.290974	3094	5000973312.000000
281474976710655.000000	4.905575	3095	5001993728.000000
281474976710655.000000	5.352085	3096	5002998784.000000
281474976710655.000000	4.835267	3097	5004019712.000000
281474976710655.000000	5.060326	3098	5005024768.000000
281474976710655.000000	4.852491	3099	5006045696.000000
281474976710655.000000	5.369744	3100	5007049728.000000
281474976710655.000000	4.959432	3101	5008071168.000000
281474976710655.000000	5.264950	3102	5009075200.000000
281474976710655.000000	4.818793	3103	5010096640.000000
281474976710655.000000	5.142787	3104	5011100160.000000
281474976710655.000000	4.703951	3105	5012123136.000000
281474976710655.000000	5.319882	3106	5013126144.000000
281474976710655.000000	4.934089	3107	5014148608.000000
281474976710655.000000	5.414310	3108	5015151616.000000
281474976710655.000000	4.900579	3109	5016174080.000000
281474976710655.000000	5.108286	3110	5017176576.000000
281474976710655.000000	4.857075	3111	5018199552.000000
281474976710655.000000	5.106431	3112	5019202048.000000
281474976710655.000000	4.790981	3113	5020225536.000000
281474976710655.000000	5.154312	3114	5021227520.000000
281474976710655.000000	4.953086	3115	5022251008.000000
281474976710655.000000	5.141160	3116	5023253504.000000
281474976710655.000000	4.875312	3117	5024276480.000000
281474976710655.000000	5.141082	3118	5025278464.000000
281474976710655.000000	4.794728	3119	5026301952.000000
281474976710655.000000	5.081424	3120	5027303424.000000
281474976710655.000000	4.705345	3121	5028327936.000000
281474976710655.000000	4.943580	3122	5029329408.000000
281474976710655.000000	4.776641	3123	5030353408.000000
281474976710655.000000	4.998909	3124	5031355392.000000
281474976710655.000000	4.804735	3125	5032378880.000000
281474976710655.000000	5.085088	3126	5033380864.000000
281474976710655.000000	4.799242	3127	5034404352.000000
281474976710655.000000	4.945107	3128	5035405824.000000
281474976710655.000000	4.638844	3129	5036429824.000000
281474976710655.000000	4.853198	3130	5037431296.000000
281474976710655.000000	4.739804	3131	5038455296.000000
281474976710655.000000	4.943913	3132	5039457280.000000
281474976710655.000000	4.893110	3133	5040481280.000000
281474976710655.000000	5.177708	3134	5041482752.000000
281474976710655.000000	4.729448	3135	5042506240.000000
281474976710655.000000	5.497086	3136	5043508224.000000
281474976710655.000000	4.235479	3137	5044531200.000000
281474976710655.000000	5.812819	3138	5045533696.000000
281474976710655.000000	5.211827	3139	5046557184.000000
281474976710655.000000	4.994555	3140	5047560192.000000
281474976710655.000000	4.926521	3141	5048582656.000000
281474976710655.000000	4.986296	3142	5049585152.000000
281474976710655.000000	4.803713	3143	5050607616.000000
281474976710655.000000	5.148233	3144	5051611136.000000
281474976710655.000000	4.726125	3145	5052633600.000000
281474976710655.000000	5.047920	3146	5053636608.000000
281474976710655.000000	4.894691	3147	5054659072.000000
281474976710655.000000	5.111280	3148	5055662080.000000
281474976710655.000000	4.865200	3149	5056684544.000000
281474976710655.000000	5.143085	3150	5057688064.000000
281474976710655.000000	4.822748	3151	5058709504.000000
281474976710655.000000	5.136927	3152	5059713024.000000
281474976710655.000000	4.890131	3153	5060734976.000000
281474976710655.000000	5.150326	3154	5061739520.000000
281474976710655.000000	4.937660	3155	5062760448.000000
281474976710655.000000	5.349290	3156	5063764480.000000
281474976710655.000000	4.819024	3157	5064785920.000000
281474976710655.000000	5.428378	3158	5065790464.000000
281474976710655.000000	4.789977	3159	5066811392.000000
281474976710655.000000	5.053349	3160	5067815936.000000
281474976710655.000000	4.793068	3161	5068836864.000000
281474976710655.000000	5.119126	3162	5069841408.000000
281474976710655.000000	5.175621	3163	5070862336.000000
281474976710655.000000	5.417309	3164	5071866880.000000
281474976710655.000000	4.959035	3165	5072887808.000000
281474976710655.000000	5.406959	3166	5073892352.000000
281474976710655.000000	4.866799	3167	5074913280.000000
281474976710655.000000	5.232352	3168	5075917824.000000
281474976710655.000000	4.881693	3169	5076938752.000000
281474976710655.000000	5.136020	3170	5077943296.000000
281474976710655.000000	4.949624	3171	5078964224.000000
281474976710655.000000	5.139046	3172	5079968768.000000
281474976710655.000000	4.832999	3173	5080989696.000000
281474976710655.000000	5.180974	3174	5081994240.000000
281474976710655.000000	4.748526	3175	5083015680.000000
281474976710655.000000	5.169716	3176	5084019712.000000
281474976710655.000000	4.976794	3177	5085041664.000000
281474976710655.000000	5.311310	3178	5086045184.000000
281474976710655.000000	4.830511	3179	5087067136.000000
281474976710655.000000	5.249494	3180	5088070656.000000
281474976710655.000000	4.633802	3181	5089092608.000000
281474976710655.000000	5.069639	3182	5090095616.000000
281474976710655.000000	4.844079	3183	5091118080.000000
281474976710655.000000	5.172240	3184	5092121600.000000
281474976710655.000000	4.951215	3185	5093144064.000000
281474976710655.000000	5.167360	3186	5094146560.000000
281474976710655.000000	4.744843	3187	5095169024.000000
281474976710655.000000	5.106050	3188	5096172032.000000
281474976710655.000000	4.801054	3189	5097195008.000000
281474976710655.000000	4.971857	3190	5098197504.000000
281474976710655.000000	4.766838	3191	5099220992.000000
281474976710655.000000	4.967323	3192	5100222976.000000
281474976710655.000000	4.906885	3193	5101245952.000000
281474976710655.000000	5.165262	3194	5102248448.000000
281474976710655.000000	4.821855	3195	5103271424.000000
281474976710655.000000	5.103021	3196	5104273920.000000
281474976710655.000000	4.696601	3197	5105297408.000000
281474976710655.000000	4.969444	3198	5106299392.000000
281474976710655.000000	4.584239	3199	5107322368.000000
281474976710655.000000	5.011348	3200	5108325376.000000
281474976710655.000000	4.853512	3201	5109348352.000000
281474976710655.000000	5.045688	3202	5110350848.000000
281474976710655.000000	4.890561	3203	5111374336.000000
281474976710655.000000	5.138516	3204	5112376320.000000
281474976710655.000000	4.799588	3205	5113399296.000000
281474976710655.000000	5.160238	3206	5114401792.000000
281474976710655.000000	4.868840	3207	5115424768.000000
281474976710655.000000	5.072027	3208	5116427264.000000
281474976710655.000000	4.821762	3209	5117450240.000000
281474976710655.000000	5.043719	3210	5118453248.000000
281474976710655.000000	4.813796	3211	5119475200.000000
281474976710655.000000	5.208328	3212	5120478208.000000
281474976710655.000000	4.772730	3213	5121500672.000000
281474976710655.000000	5.117024	3214	5122503168.000000
281474976710655.000000	4.779974	3215	5123526656.000000
281474976710655.000000	5.046514	3216	5124529152.000000
281474976710655.000000	4.867355	3217	5125552128.000000
281474976710655.000000	5.307276	3218	5126555136.000000
281474976710655.000000	4.995308	3219	5127577088.000000
281474976710655.000000	5.225407	3220	5128580608.000000
281474976710655.000000	4.818482	3221	5129602560.000000
281474976710655.000000	5.082150	3222	5130606080.000000
281474976710655.000000	4.769002	3223	5131628032.000000
281474976710655.000000	5.159317	3224	5132631552.000000
281474976710655.000000	4.889482	3225	5133653504.000000
281474976710655.000000	5.221843	3226	5134657536.000000
281474976710655.000000	5.029950	3227	5135678976.000000
281474976710655.000000	5.205433	3228	5136683520.000000
281474976710655.000000	4.830975	3229	5137703936.000000
281474976710655.000000	5.241933	3230	5138707968.000000
281474976710655.000000	4.881690	3231	5139729408.000000
281474976710655.000000	5.254279	3232	5140734464.000000
281474976710655.000000	4.897305	3233	5141754880.000000
281474976710655.000000	5.140890	3234	5142759936.000000
281474976710655.000000	4.951070	3235	5143780352.000000
281474976710655.000000	5.322945	3236	5144785408.000000
281474976710655.000000	5.067658	3237	5145805824.000000
281474976710655.000000	5.328137	3238	5146810368.000000
281474976710655.000000	4.929250	3239	5147831808.000000
281474976710655.000000	5.028140	3240	5148836352.000000
281474976710655.000000	4.661652	3241	5149857280.000000
281474976710655.000000	5.268968	3242	5150861824.000000
281474976710655.000000	5.007381	3243	5151882752.000000
281474976710655.000000	5.117987	3244	5152887296.000000
281474976710655.000000	4.818622	3245	5153908224.000000
281474976710655.000000	5.233052	3246	5154912256.000000
281474976710655.000000	4.877382	3247	5155933696.000000
281474976710655.000000	5.418929	3248	5156937216.000000
281474976710655.000000	4.789960	3249	5157959680.000000
281474976710655.000000	5.194224	3250	5158963200.000000
281474976710655.000000	4.775223	3251	5159985664.000000
281474976710655.000000	5.013337	3252	5160989184.000000
281474976710655.000000	4.953277	3253	5162011648.000000
281474976710655.000000	5.254488	3254	5163014144.000000
281474976710655.000000	5.055142	3255	5164036608.000000
281474976710655.000000	5.162094	3256	5165040128.000000
281474976710655.000000	4.707607	3257	5166062592.000000
281474976710655.000000	5.003990	3258	5167064576.000000
281474976710655.000000	4.680997	3259	5168088064.000000
281474976710655.000000	5.049471	3260	5169090560.000000
281474976710655.000000	4.847533	3261	5170113536.000000
