crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	6.868331	987	1057358336.000000
281474976710655.000000	7.656531	988	1058368384.000000
281474976710655.000000	6.897466	989	1059394304.000000
281474976710655.000000	7.531257	990	1060404352.000000
281474976710655.000000	7.467336	991	1061430400.000000
281474976710655.000000	7.604977	992	1062440256.000000
281474976710655.000000	7.509739	993	1063466496.000000
281474976710655.000000	7.536096	994	1064475776.000000
281474976710655.000000	7.387916	995	1065502656.000000
281474976710655.000000	7.334797	996	1066511616.000000
281474976710655.000000	7.487412	997	1067538752.000000
281474976710655.000000	7.563508	998	1068547008.000000
281474976710655.000000	7.534520	999	1069574848.000000
281474976710655.000000	7.401005	1000	1070582976.000000
281474976710655.000000	7.317099	1001	1071611328.000000
281474976710655.000000	7.753338	1002	1072618496.000000
281474976710655.000000	7.204638	1003	1073647040.000000
281474976710655.000000	7.824142	1004	1074654336.000000
281474976710655.000000	7.389128	1005	1075683456.000000
281474976710655.000000	7.347661	1006	1076690304.000000
281474976710655.000000	7.473699	1007	1077719552.000000
281474976710655.000000	7.608719	1008	1078725888.000000
281474976710655.000000	7.607431	1009	1079755520.000000
281474976710655.000000	7.492874	1010	1080762368.000000
281474976710655.000000	7.772382	1011	1081791104.000000
281474976710655.000000	7.443460	1012	1082798080.000000
281474976710655.000000	7.344702	1013	1083827072.000000
281474976710655.000000	7.513931	1014	1084834048.000000
281474976710655.000000	7.353136	1015	1085863040.000000
281474976710655.000000	7.551761	1016	1086870144.000000
281474976710655.000000	7.375111	1017	1087898496.000000
281474976710655.000000	7.674235	1018	1088906368.000000
281474976710655.000000	7.325321	1019	1089934720.000000
281474976710655.000000	7.518740	1020	1090942720.000000
281474976710655.000000	7.458988	1021	1091970304.000000
281474976710655.000000	7.759686	1022	1092978432.000000
281474976710655.000000	7.515905	1023	1094005888.000000
281474976710655.000000	7.323015	1024	1095014912.000000
281474976710655.000000	7.353181	1025	1096041856.000000
281474976710655.000000	7.532425	1026	1097051136.000000
281474976710655.000000	7.750569	1027	1098077184.000000
281474976710655.000000	7.431108	1028	1099087488.000000
281474976710655.000000	7.428718	1029	1100113152.000000
281474976710655.000000	7.476960	1030	1101123712.000000
281474976710655.000000	7.626684	1031	1102148864.000000
281474976710655.000000	7.574082	1032	1103159808.000000
281474976710655.000000	7.443916	1033	1104184832.000000
281474976710655.000000	7.557576	1034	1105195648.000000
281474976710655.000000	7.365585	1035	1106220544.000000
281474976710655.000000	7.502737	1036	1107232000.000000
281474976710655.000000	7.364896	1037	1108256384.000000
281474976710655.000000	7.719206	1038	1109267968.000000
281474976710655.000000	7.515410	1039	1110292224.000000
281474976710655.000000	7.548666	1040	1111303552.000000
281474976710655.000000	7.311947	1041	1112328192.000000
281474976710655.000000	7.362074	1042	1113339904.000000
281474976710655.000000	7.639824	1043	1114364288.000000
281474976710655.000000	7.491370	1044	1115375488.000000
281474976710655.000000	7.479350	1045	1116400512.000000
281474976710655.000000	7.250508	1046	1117411328.000000
281474976710655.000000	7.512424	1047	1118436736.000000
281474976710655.000000	7.392843	1048	1119447424.000000
281474976710655.000000	7.508409	1049	1120472832.000000
281474976710655.000000	7.663565	1050	1121482496.000000
281474976710655.000000	7.262174	1051	1122508800.000000
281474976710655.000000	7.492178	1052	1123518464.000000
281474976710655.000000	7.331165	1053	1124545152.000000
281474976710655.000000	7.813046	1054	1125554304.000000
281474976710655.000000	7.472094	1055	1126581120.000000
281474976710655.000000	7.848953	1056	1127590016.000000
281474976710655.000000	7.445168	1057	1128617472.000000
281474976710655.000000	7.432142	1058	1129625728.000000
281474976710655.000000	7.636034	1059	1130653568.000000
281474976710655.000000	7.548420	1060	1131661696.000000
281474976710655.000000	7.651443	1061	1132689536.000000
281474976710655.000000	7.553441	1062	1133697408.000000
281474976710655.000000	7.436565	1063	1134725504.000000
281474976710655.000000	7.629964	1064	1135733504.000000
281474976710655.000000	7.426029	1065	1136761728.000000
281474976710655.000000	7.728175	1066	1137769344.000000
281474976710655.000000	7.219335	1067	1138797696.000000
281474976710655.000000	7.656070	1068	1139805312.000000
281474976710655.000000	7.564204	1069	1140833408.000000
281474976710655.000000	7.644916	1070	1141841280.000000
