crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	6.876257	3461	4536504832.000000
281474976710655.000000	6.862122	3462	4537539584.000000
281474976710655.000000	6.758636	3463	4538588672.000000
281474976710655.000000	6.954045	3464	4539624960.000000
281474976710655.000000	6.465418	3465	4540672512.000000
281474976710655.000000	6.968369	3466	4541709824.000000
281474976710655.000000	6.699005	3467	4542756864.000000
281474976710655.000000	6.812147	3468	4543794688.000000
281474976710655.000000	6.630205	3469	4544840192.000000
281474976710655.000000	6.873375	3470	4545880064.000000
281474976710655.000000	6.551060	3471	4546924032.000000
281474976710655.000000	6.910645	3472	4547964928.000000
281474976710655.000000	6.620540	3473	4549007872.000000
281474976710655.000000	6.838617	3474	4550049792.000000
281474976710655.000000	6.892838	3475	4551090688.000000
281474976710655.000000	6.836022	3476	4552135168.000000
281474976710655.000000	6.472540	3477	4553174528.000000
281474976710655.000000	6.877653	3478	4554221056.000000
281474976710655.000000	6.543779	3479	4555257856.000000
281474976710655.000000	6.813424	3480	4556305920.000000
281474976710655.000000	6.802285	3481	4557341184.000000
281474976710655.000000	6.970001	3482	4558391296.000000
281474976710655.000000	6.890731	3483	4559425024.000000
281474976710655.000000	7.026865	3484	4560475136.000000
281474976710655.000000	6.486656	3485	4561509376.000000
281474976710655.000000	6.942505	3486	4562560512.000000
281474976710655.000000	6.587863	3487	4563593216.000000
281474976710655.000000	6.999708	3488	4564644352.000000
281474976710655.000000	6.683741	3489	4565677568.000000
281474976710655.000000	6.794761	3490	4566728704.000000
281474976710655.000000	6.463208	3491	4567761920.000000
281474976710655.000000	7.131313	3492	4568813056.000000
281474976710655.000000	6.658672	3493	4569846272.000000
281474976710655.000000	6.686241	3494	4570898432.000000
281474976710655.000000	6.559040	3495	4571930112.000000
281474976710655.000000	7.024710	3496	4572982272.000000
281474976710655.000000	6.367792	3497	4574014464.000000
281474976710655.000000	6.912968	3498	4575066112.000000
281474976710655.000000	6.502069	3499	4576100352.000000
281474976710655.000000	6.974341	3500	4577149952.000000
281474976710655.000000	6.652574	3501	4578184192.000000
281474976710655.000000	6.993999	3502	4579234304.000000
281474976710655.000000	6.598592	3503	4580269568.000000
281474976710655.000000	6.905126	3504	4581317632.000000
281474976710655.000000	6.764559	3505	4582354432.000000
281474976710655.000000	7.002462	3506	4583401472.000000
281474976710655.000000	6.776500	3507	4584439296.000000
281474976710655.000000	7.098840	3508	4585484800.000000
281474976710655.000000	6.705301	3509	4586524160.000000
281474976710655.000000	6.933259	3510	4587568128.000000
281474976710655.000000	6.892112	3511	4588609536.000000
281474976710655.000000	6.863182	3512	4589651968.000000
281474976710655.000000	6.884797	3513	4590694400.000000
281474976710655.000000	6.811573	3514	4591735808.000000
281474976710655.000000	6.688886	3515	4592779776.000000
281474976710655.000000	6.957334	3516	4593819136.000000
281474976710655.000000	6.963644	3517	4594865152.000000
281474976710655.000000	6.824069	3518	4595902464.000000
281474976710655.000000	6.800825	3519	4596948992.000000
281474976710655.000000	6.955865	3520	4597986304.000000
281474976710655.000000	6.568590	3521	4599034880.000000
281474976710655.000000	6.867549	3522	4600070656.000000
281474976710655.000000	6.614331	3523	4601118720.000000
281474976710655.000000	6.950019	3524	4602155008.000000
281474976710655.000000	6.617440	3525	4603204096.000000
281474976710655.000000	6.735169	3526	4604239360.000000
281474976710655.000000	6.590237	3527	4605287936.000000
281474976710655.000000	6.842893	3528	4606323712.000000
281474976710655.000000	6.720254	3529	4607371776.000000
281474976710655.000000	6.669659	3530	4608408064.000000
281474976710655.000000	6.811414	3531	4609456128.000000
281474976710655.000000	6.832675	3532	4610493440.000000
281474976710655.000000	6.625106	3533	4611539968.000000
281474976710655.000000	6.968665	3534	4612578304.000000
281474976710655.000000	6.786682	3535	4613623808.000000
281474976710655.000000	6.598537	3536	4614662144.000000
281474976710655.000000	6.665409	3537	4615707648.000000
281474976710655.000000	6.936813	3538	4616747520.000000
281474976710655.000000	6.653686	3539	4617791488.000000
281474976710655.000000	6.919736	3540	4618832896.000000
281474976710655.000000	6.660485	3541	4619874816.000000
281474976710655.000000	7.067109	3542	4620918272.000000
281474976710655.000000	6.793348	3543	4621958656.000000
281474976710655.000000	6.787715	3544	4623003648.000000
281474976710655.000000	6.582755	3545	4624041984.000000
281474976710655.000000	6.595713	3546	4625088512.000000
281474976710655.000000	6.671639	3547	4626125824.000000
281474976710655.000000	6.976123	3548	4627173888.000000
281474976710655.000000	6.347278	3549	4628209152.000000
281474976710655.000000	6.695032	3550	4629258752.000000
281474976710655.000000	6.480187	3551	4630292992.000000
281474976710655.000000	6.941082	3552	4631342592.000000
281474976710655.000000	6.707963	3553	4632377344.000000
281474976710655.000000	7.013063	3554	4633428480.000000
281474976710655.000000	6.162242	3555	4634461184.000000
281474976710655.000000	7.029793	3556	4635511808.000000
281474976710655.000000	6.565736	3557	4636545536.000000
281474976710655.000000	6.939161	3558	4637597184.000000
281474976710655.000000	6.712012	3559	4638629888.000000
281474976710655.000000	6.728937	3560	4639681024.000000
281474976710655.000000	6.521657	3561	4640714240.000000
281474976710655.000000	6.948659	3562	4641765376.000000
