crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	7.317630	4550	5531321344.000000
281474976710655.000000	7.304187	4551	5532375552.000000
281474976710655.000000	7.425181	4552	5533397504.000000
281474976710655.000000	7.282538	4553	5534451712.000000
281474976710655.000000	7.395809	4554	5535474688.000000
281474976710655.000000	7.221128	4555	5536528896.000000
281474976710655.000000	7.591251	4556	5537550336.000000
281474976710655.000000	7.201256	4557	5538604544.000000
281474976710655.000000	7.368808	4558	5539626496.000000
281474976710655.000000	7.254699	4559	5540681728.000000
281474976710655.000000	7.650586	4560	5541702656.000000
281474976710655.000000	7.313787	4561	5542756864.000000
281474976710655.000000	7.372878	4562	5543778816.000000
281474976710655.000000	7.456203	4563	5544834560.000000
281474976710655.000000	7.425954	4564	5545856000.000000
281474976710655.000000	7.600549	4565	5546909696.000000
281474976710655.000000	7.649545	4566	5547932672.000000
281474976710655.000000	7.545624	4567	5548986880.000000
281474976710655.000000	7.483727	4568	5550008320.000000
281474976710655.000000	7.317804	4569	5551063552.000000
281474976710655.000000	7.543884	4570	5552085504.000000
281474976710655.000000	7.197986	4571	5553138688.000000
281474976710655.000000	7.413906	4572	5554161152.000000
281474976710655.000000	7.373911	4573	5555214848.000000
281474976710655.000000	7.658375	4574	5556238336.000000
281474976710655.000000	7.248691	4575	5557292032.000000
281474976710655.000000	7.296576	4576	5558313984.000000
281474976710655.000000	7.181769	4577	5559368704.000000
281474976710655.000000	7.683525	4578	5560390144.000000
281474976710655.000000	7.322658	4579	5561444352.000000
281474976710655.000000	7.454642	4580	5562467328.000000
281474976710655.000000	7.120741	4581	5563520512.000000
281474976710655.000000	7.657362	4582	5564542464.000000
281474976710655.000000	7.237357	4583	5565597696.000000
281474976710655.000000	7.331148	4584	5566620160.000000
281474976710655.000000	7.127117	4585	5567673344.000000
281474976710655.000000	7.685741	4586	5568695808.000000
281474976710655.000000	7.275142	4587	5569749504.000000
281474976710655.000000	7.291153	4588	5570772992.000000
281474976710655.000000	7.110920	4589	5571825664.000000
281474976710655.000000	7.496466	4590	5572848640.000000
281474976710655.000000	7.377436	4591	5573902848.000000
281474976710655.000000	7.495760	4592	5574924800.000000
281474976710655.000000	7.183280	4593	5575978496.000000
281474976710655.000000	7.630188	4594	5577001984.000000
281474976710655.000000	7.008933	4595	5578054656.000000
281474976710655.000000	7.460702	4596	5579078656.000000
281474976710655.000000	7.177653	4597	5580131840.000000
281474976710655.000000	7.685760	4598	5581153792.000000
281474976710655.000000	7.311790	4599	5582207488.000000
281474976710655.000000	7.551776	4600	5583230976.000000
281474976710655.000000	7.394767	4601	5584283648.000000
281474976710655.000000	7.351053	4602	5585306624.000000
281474976710655.000000	7.208249	4603	5586360832.000000
281474976710655.000000	7.612671	4604	5587382784.000000
281474976710655.000000	7.292826	4605	5588436480.000000
281474976710655.000000	7.561638	4606	5589459968.000000
281474976710655.000000	7.076959	4607	5590513664.000000
281474976710655.000000	7.565893	4608	5591536640.000000
281474976710655.000000	7.218599	4609	5592589312.000000
281474976710655.000000	7.583908	4610	5593612288.000000
281474976710655.000000	7.207007	4611	5594665472.000000
281474976710655.000000	7.729625	4612	5595688448.000000
281474976710655.000000	7.296033	4613	5596742656.000000
281474976710655.000000	7.452184	4614	5597764608.000000
281474976710655.000000	7.402426	4615	5598819328.000000
281474976710655.000000	7.513830	4616	5599841792.000000
281474976710655.000000	7.095293	4617	5600894976.000000
281474976710655.000000	7.600122	4618	5601917440.000000
281474976710655.000000	7.295471	4619	5602971136.000000
281474976710655.000000	7.500693	4620	5603993600.000000
281474976710655.000000	7.101589	4621	5605048320.000000
281474976710655.000000	7.488309	4622	5606070784.000000
281474976710655.000000	7.315157	4623	5607123968.000000
281474976710655.000000	7.477282	4624	5608146432.000000
281474976710655.000000	7.259797	4625	5609200128.000000
281474976710655.000000	7.456336	4626	5610223616.000000
281474976710655.000000	7.283567	4627	5611277312.000000
281474976710655.000000	7.619982	4628	5612299264.000000
281474976710655.000000	7.338160	4629	5613353984.000000
281474976710655.000000	7.631115	4630	5614375424.000000
281474976710655.000000	7.328290	4631	5615429120.000000
281474976710655.000000	7.448872	4632	5616451584.000000
281474976710655.000000	7.327632	4633	5617506816.000000
281474976710655.000000	7.541408	4634	5618528768.000000
281474976710655.000000	7.075779	4635	5619581952.000000
281474976710655.000000	7.317528	4636	5620604416.000000
281474976710655.000000	7.288321	4637	5621659136.000000
281474976710655.000000	7.562426	4638	5622680576.000000
281474976710655.000000	7.131547	4639	5623734784.000000
281474976710655.000000	7.478992	4640	5624757760.000000
281474976710655.000000	7.310765	4641	5625810944.000000
281474976710655.000000	7.471925	4642	5626833408.000000
281474976710655.000000	7.399808	4643	5627887104.000000
281474976710655.000000	7.612347	4644	5628910592.000000
281474976710655.000000	7.342711	4645	5629964288.000000
281474976710655.000000	7.531691	4646	5630986240.000000
281474976710655.000000	7.098178	4647	5632040960.000000
281474976710655.000000	7.607849	4648	5633063424.000000
281474976710655.000000	7.144642	4649	5634116096.000000
281474976710655.000000	7.320322	4650	5635139072.000000
281474976710655.000000	7.169579	4651	5636193280.000000
281474976710655.000000	7.563651	4652	5637215232.000000
281474976710655.000000	7.138930	4653	5638268928.000000
281474976710655.000000	7.588512	4654	5639292416.000000
281474976710655.000000	8.105488	4655	5640346112.000000
281474976710655.000000	7.736595	4656	5641368064.000000
281474976710655.000000	7.394126	4657	5642421760.000000
281474976710655.000000	7.305227	4658	5643444224.000000
281474976710655.000000	7.410316	4659	5644498944.000000
281474976710655.000000	7.559989	4660	5645521408.000000
281474976710655.000000	7.148040	4661	5646574592.000000
281474976710655.000000	7.407965	4662	5647598080.000000
281474976710655.000000	7.595732	4663	5648651776.000000
281474976710655.000000	7.479018	4664	5649673728.000000
281474976710655.000000	7.147103	4665	5650726912.000000
281474976710655.000000	7.825832	4666	5651749888.000000
281474976710655.000000	7.162755	4667	5652804096.000000
281474976710655.000000	7.512954	4668	5653826048.000000
281474976710655.000000	7.287327	4669	5654880768.000000
281474976710655.000000	7.670780	4670	5655903232.000000
281474976710655.000000	7.215109	4671	5656956416.000000
281474976710655.000000	7.287597	4672	5657978880.000000
281474976710655.000000	7.295748	4673	5659032576.000000
281474976710655.000000	7.608971	4674	5660055040.000000
281474976710655.000000	7.080892	4675	5661109760.000000
281474976710655.000000	7.738452	4676	5662131200.000000
281474976710655.000000	7.193923	4677	5663185408.000000
281474976710655.000000	7.393365	4678	5664208384.000000
281474976710655.000000	7.274073	4679	5665262592.000000
281474976710655.000000	7.699673	4680	5666284032.000000
281474976710655.000000	7.239379	4681	5667339264.000000
281474976710655.000000	7.266616	4682	5668360192.000000
281474976710655.000000	7.276689	4683	5669414400.000000
281474976710655.000000	7.683145	4684	5670437376.000000
281474976710655.000000	7.239705	4685	5671491584.000000
281474976710655.000000	7.404747	4686	5672513024.000000
281474976710655.000000	7.355001	4687	5673567232.000000
281474976710655.000000	7.658668	4688	5674590208.000000
281474976710655.000000	7.110467	4689	5675643392.000000
281474976710655.000000	7.442468	4690	5676666880.000000
281474976710655.000000	7.248128	4691	5677720576.000000
281474976710655.000000	7.522362	4692	5678741504.000000
281474976710655.000000	7.203680	4693	5679797248.000000
281474976710655.000000	7.609564	4694	5680818688.000000
281474976710655.000000	7.362195	4695	5681872896.000000
281474976710655.000000	7.550535	4696	5682894336.000000
281474976710655.000000	7.447063	4697	5683949056.000000
281474976710655.000000	7.591680	4698	5684971520.000000
281474976710655.000000	7.204508	4699	5686025216.000000
