crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	7.715404	1599	1657956736.000000
281474976710655.000000	7.467666	1600	1658903040.000000
281474976710655.000000	7.750878	1601	1659974016.000000
281474976710655.000000	7.420923	1602	1660920576.000000
281474976710655.000000	7.840237	1603	1661991552.000000
281474976710655.000000	7.447404	1604	1662937984.000000
281474976710655.000000	7.989090	1605	1664008832.000000
281474976710655.000000	7.488543	1606	1664955520.000000
281474976710655.000000	7.843149	1607	1666026240.000000
281474976710655.000000	7.474811	1608	1666973056.000000
281474976710655.000000	7.774720	1609	1668043776.000000
281474976710655.000000	7.670368	1610	1668990592.000000
281474976710655.000000	7.695503	1611	1670061184.000000
281474976710655.000000	7.677691	1612	1671008000.000000
281474976710655.000000	7.715559	1613	1672078464.000000
281474976710655.000000	7.703298	1614	1673025536.000000
281474976710655.000000	7.780232	1615	1674096000.000000
281474976710655.000000	7.587461	1616	1675043072.000000
281474976710655.000000	7.715910	1617	1676113536.000000
281474976710655.000000	7.468631	1618	1677060480.000000
281474976710655.000000	7.478889	1619	1678131072.000000
281474976710655.000000	7.487779	1620	1679077888.000000
281474976710655.000000	7.583801	1621	1680148608.000000
281474976710655.000000	7.597291	1622	1681095296.000000
281474976710655.000000	7.666447	1623	1682166144.000000
281474976710655.000000	7.308241	1624	1683112832.000000
281474976710655.000000	7.781532	1625	1684183680.000000
281474976710655.000000	7.663611	1626	1685130112.000000
281474976710655.000000	7.712204	1627	1686201216.000000
281474976710655.000000	7.519759	1628	1687147520.000000
281474976710655.000000	7.797430	1629	1688218752.000000
281474976710655.000000	7.681323	1630	1689164928.000000
281474976710655.000000	7.796706	1631	1690236416.000000
281474976710655.000000	7.678459	1632	1691182208.000000
281474976710655.000000	7.679150	1633	1692253952.000000
281474976710655.000000	7.853244	1634	1693199872.000000
281474976710655.000000	7.612365	1635	1694271616.000000
281474976710655.000000	7.693920	1636	1695217024.000000
281474976710655.000000	7.514776	1637	1696289280.000000
281474976710655.000000	7.840694	1638	1697234688.000000
281474976710655.000000	7.697110	1639	1698306944.000000
281474976710655.000000	7.501590	1640	1699252096.000000
281474976710655.000000	7.619740	1641	1700324224.000000
281474976710655.000000	7.711164	1642	1701269632.000000
281474976710655.000000	7.771712	1643	1702342144.000000
281474976710655.000000	7.506527	1644	1703286912.000000
281474976710655.000000	7.685641	1645	1704359424.000000
281474976710655.000000	7.569156	1646	1705304448.000000
281474976710655.000000	7.854019	1647	1706377216.000000
281474976710655.000000	7.572093	1648	1707321600.000000
281474976710655.000000	7.761798	1649	1708394752.000000
281474976710655.000000	7.551029	1650	1709339264.000000
281474976710655.000000	7.965658	1651	1710412160.000000
281474976710655.000000	7.600273	1652	1711356544.000000
281474976710655.000000	7.559978	1653	1712429568.000000
281474976710655.000000	7.620318	1654	1713374208.000000
281474976710655.000000	7.795465	1655	1714447104.000000
281474976710655.000000	7.816457	1656	1715391616.000000
281474976710655.000000	7.547818	1657	1716464640.000000
281474976710655.000000	7.794662	1658	1717409024.000000
281474976710655.000000	8.091006	1659	1718482048.000000
281474976710655.000000	7.659073	1660	1719426304.000000
281474976710655.000000	7.410055	1661	1720499968.000000
281474976710655.000000	7.484425	1662	1721443712.000000
281474976710655.000000	7.674972	1663	1722517504.000000
281474976710655.000000	7.361441	1664	1723461248.000000
281474976710655.000000	7.652820	1665	1724534912.000000
281474976710655.000000	7.403597	1666	1725478784.000000
281474976710655.000000	7.641946	1667	1726552192.000000
281474976710655.000000	7.267161	1668	1727496192.000000
281474976710655.000000	7.719667	1669	1728569344.000000
281474976710655.000000	7.411059	1670	1729514624.000000
281474976710655.000000	7.835349	1671	1730586496.000000
281474976710655.000000	7.488366	1672	1731532288.000000
281474976710655.000000	7.816751	1673	1732603904.000000
281474976710655.000000	7.587943	1674	1733549568.000000
281474976710655.000000	7.489882	1675	1734621184.000000
281474976710655.000000	7.450320	1676	1735567232.000000
281474976710655.000000	7.631570	1677	1736638720.000000
281474976710655.000000	7.725858	1678	1737584768.000000
281474976710655.000000	7.628938	1679	1738656000.000000
281474976710655.000000	7.620727	1680	1739602304.000000
281474976710655.000000	7.549719	1681	1740673408.000000
281474976710655.000000	7.492333	1682	1741619712.000000
281474976710655.000000	7.712023	1683	1742690560.000000
281474976710655.000000	7.431607	1684	1743637248.000000
281474976710655.000000	7.463970	1685	1744707968.000000
281474976710655.000000	7.164318	1686	1745654912.000000
281474976710655.000000	7.470213	1687	1746725504.000000
281474976710655.000000	7.602768	1688	1747672448.000000
281474976710655.000000	7.547400	1689	1748742912.000000
281474976710655.000000	7.291071	1690	1749688832.000000
281474976710655.000000	7.555789	1691	1750761088.000000
281474976710655.000000	7.401256	1692	1751706752.000000
281474976710655.000000	7.617448	1693	1752778624.000000
281474976710655.000000	7.524458	1694	1753724288.000000
281474976710655.000000	7.525188	1695	1754795904.000000
281474976710655.000000	7.547899	1696	1755741952.000000
281474976710655.000000	7.497704	1697	1756813440.000000
281474976710655.000000	7.412469	1698	1757759232.000000
281474976710655.000000	7.364406	1699	1758831232.000000
281474976710655.000000	7.487131	1700	1759776768.000000
281474976710655.000000	5.875722	1701	1760848512.000000
281474976710655.000000	7.345868	1702	1761794688.000000
281474976710655.000000	7.286135	1703	1762865792.000000
281474976710655.000000	7.392091	1704	1763812352.000000
281474976710655.000000	7.541410	1705	1764883200.000000
281474976710655.000000	7.344070	1706	1765829760.000000
281474976710655.000000	7.674910	1707	1766900736.000000
281474976710655.000000	7.475478	1708	1767847296.000000
281474976710655.000000	7.819587	1709	1768918272.000000
281474976710655.000000	7.427488	1710	1769864576.000000
281474976710655.000000	7.777158	1711	1770935680.000000
281474976710655.000000	7.497032	1712	1771881984.000000
281474976710655.000000	7.776690	1713	1772953344.000000
281474976710655.000000	7.577993	1714	1773899392.000000
281474976710655.000000	7.419942	1715	1774970752.000000
