crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	5.278720	1770	1994442752.000000
281474976710655.000000	5.368234	1771	1995454336.000000
281474976710655.000000	5.173176	1772	1996522368.000000
281474976710655.000000	5.290640	1773	1997534208.000000
281474976710655.000000	5.210479	1774	1998601984.000000
281474976710655.000000	5.345336	1775	1999613824.000000
281474976710655.000000	5.227442	1776	2000681600.000000
281474976710655.000000	5.303751	1777	2001693696.000000
281474976710655.000000	5.284718	1778	2002761344.000000
281474976710655.000000	5.246696	1779	2003773056.000000
281474976710655.000000	5.112994	1780	2004841088.000000
281474976710655.000000	5.177735	1781	2005852800.000000
281474976710655.000000	5.012026	1782	2006920704.000000
281474976710655.000000	5.123258	1783	2007932416.000000
281474976710655.000000	5.105863	1784	2009000576.000000
281474976710655.000000	5.026125	1785	2010011776.000000
281474976710655.000000	5.049453	1786	2011080320.000000
281474976710655.000000	5.049376	1787	2012091264.000000
281474976710655.000000	5.040081	1788	2013160320.000000
281474976710655.000000	5.096544	1789	2014171264.000000
281474976710655.000000	5.114505	1790	2015239808.000000
281474976710655.000000	4.962837	1791	2016250624.000000
281474976710655.000000	5.073277	1792	2017319424.000000
281474976710655.000000	4.974700	1793	2018330368.000000
281474976710655.000000	5.184024	1794	2019398912.000000
281474976710655.000000	5.143478	1795	2020409856.000000
281474976710655.000000	5.046795	1796	2021478272.000000
281474976710655.000000	5.037853	1797	2022489600.000000
281474976710655.000000	4.994759	1798	2023558272.000000
281474976710655.000000	4.965337	1799	2024569600.000000
281474976710655.000000	5.013806	1800	2025638016.000000
281474976710655.000000	5.089651	1801	2026649472.000000
281474976710655.000000	4.919817	1802	2027717376.000000
281474976710655.000000	4.991347	1803	2028729216.000000
281474976710655.000000	4.890887	1804	2029796992.000000
281474976710655.000000	4.965385	1805	2030808960.000000
281474976710655.000000	5.008410	1806	2031876736.000000
281474976710655.000000	5.194721	1807	2032888576.000000
281474976710655.000000	5.044583	1808	2033956480.000000
281474976710655.000000	5.148919	1809	2034968448.000000
281474976710655.000000	5.201173	1810	2036035968.000000
281474976710655.000000	5.219759	1811	2037048064.000000
281474976710655.000000	5.173917	1812	2038115968.000000
281474976710655.000000	5.135577	1813	2039127296.000000
281474976710655.000000	5.099070	1814	2040195584.000000
281474976710655.000000	5.103900	1815	2041207168.000000
281474976710655.000000	5.250024	1816	2042275072.000000
281474976710655.000000	5.219031	1817	2043286912.000000
281474976710655.000000	5.349793	1818	2044354560.000000
281474976710655.000000	5.161569	1819	2045366528.000000
281474976710655.000000	5.258651	1820	2046434944.000000
281474976710655.000000	5.389812	1821	2047446016.000000
281474976710655.000000	5.388061	1822	2048514560.000000
281474976710655.000000	5.424700	1823	2049525632.000000
281474976710655.000000	5.323614	1824	2050594432.000000
281474976710655.000000	5.313577	1825	2051605248.000000
281474976710655.000000	5.358440	1826	2052673792.000000
281474976710655.000000	5.533503	1827	2053684864.000000
281474976710655.000000	5.403434	1828	2054753408.000000
281474976710655.000000	5.400136	1829	2055764608.000000
281474976710655.000000	5.482574	1830	2056833024.000000
281474976710655.000000	5.534053	1831	2057844480.000000
281474976710655.000000	5.392752	1832	2058912896.000000
281474976710655.000000	5.373377	1833	2059924224.000000
281474976710655.000000	5.246744	1834	2060992384.000000
281474976710655.000000	5.422293	1835	2062003968.000000
281474976710655.000000	5.161682	1836	2063072128.000000
281474976710655.000000	5.241099	1837	2064083840.000000
281474976710655.000000	5.196796	1838	2065151744.000000
281474976710655.000000	5.138386	1839	2066163584.000000
281474976710655.000000	5.139831	1840	2067231360.000000
281474976710655.000000	5.291790	1841	2068243456.000000
281474976710655.000000	5.253900	1842	2069311232.000000
281474976710655.000000	5.303960	1843	2070323072.000000
281474976710655.000000	5.160131	1844	2071390976.000000
281474976710655.000000	5.336027	1845	2072402816.000000
281474976710655.000000	5.098156	1846	2073470592.000000
281474976710655.000000	5.187007	1847	2074482432.000000
281474976710655.000000	5.058396	1848	2075550464.000000
281474976710655.000000	5.052112	1849	2076561920.000000
281474976710655.000000	5.020658	1850	2077629952.000000
281474976710655.000000	5.208760	1851	2078641792.000000
281474976710655.000000	5.146244	1852	2079709440.000000
281474976710655.000000	5.110340	1853	2080721664.000000
281474976710655.000000	5.069884	1854	2081789440.000000
281474976710655.000000	4.981168	1855	2082800896.000000
281474976710655.000000	4.994819	1856	2083869184.000000
281474976710655.000000	4.987480	1857	2084880512.000000
281474976710655.000000	5.033709	1858	2085949056.000000
281474976710655.000000	5.058032	1859	2086960128.000000
281474976710655.000000	5.258403	1860	2088028800.000000
281474976710655.000000	5.164061	1861	2089039360.000000
281474976710655.000000	5.289769	1862	2090108544.000000
281474976710655.000000	5.052433	1863	2091118976.000000
281474976710655.000000	5.226524	1864	2092188160.000000
281474976710655.000000	5.061854	1865	2093198592.000000
281474976710655.000000	4.964360	1866	2094267520.000000
281474976710655.000000	5.039801	1867	2095278592.000000
281474976710655.000000	5.029478	1868	2096347520.000000
281474976710655.000000	5.076377	1869	2097358336.000000
281474976710655.000000	4.990829	1870	2098427264.000000
281474976710655.000000	5.078359	1871	2099437952.000000
281474976710655.000000	4.999451	1872	2100506752.000000
281474976710655.000000	5.100341	1873	2101517824.000000
281474976710655.000000	5.044563	1874	2102586496.000000
281474976710655.000000	5.225985	1875	2103597440.000000
281474976710655.000000	5.116856	1876	2104666112.000000
281474976710655.000000	5.265435	1877	2105677056.000000
281474976710655.000000	5.095471	1878	2106745984.000000
281474976710655.000000	5.221311	1879	2107756928.000000
281474976710655.000000	5.111874	1880	2108825472.000000
281474976710655.000000	5.184701	1881	2109836416.000000
281474976710655.000000	5.261452	1882	2110905216.000000
281474976710655.000000	5.223281	1883	2111916032.000000
281474976710655.000000	5.293141	1884	2112984960.000000
281474976710655.000000	5.232985	1885	2113995776.000000
281474976710655.000000	5.204121	1886	2115064704.000000
281474976710655.000000	5.305449	1887	2116075392.000000
281474976710655.000000	5.322110	1888	2117144448.000000
281474976710655.000000	5.253066	1889	2118154880.000000
281474976710655.000000	5.255902	1890	2119224064.000000
281474976710655.000000	5.266990	1891	2120234624.000000
281474976710655.000000	5.111226	1892	2121303552.000000
281474976710655.000000	5.336551	1893	2122314624.000000
281474976710655.000000	5.476899	1894	2123383040.000000
281474976710655.000000	5.362630	1895	2124394368.000000
281474976710655.000000	5.395394	1896	2125462784.000000
281474976710655.000000	5.328854	1897	2126474112.000000
281474976710655.000000	5.282821	1898	2127542528.000000
281474976710655.000000	5.352264	1899	2128553728.000000
281474976710655.000000	5.343782	1900	2129622144.000000
281474976710655.000000	5.198824	1901	2130633728.000000
281474976710655.000000	5.242853	1902	2131701632.000000
281474976710655.000000	5.503136	1903	2132713216.000000
281474976710655.000000	5.366118	1904	2133781504.000000
281474976710655.000000	5.353061	1905	2134792960.000000
281474976710655.000000	5.248977	1906	2135861120.000000
281474976710655.000000	5.221128	1907	2136872832.000000
281474976710655.000000	5.205380	1908	2137940736.000000
281474976710655.000000	5.249219	1909	2138952448.000000
281474976710655.000000	5.153183	1910	2140020480.000000
281474976710655.000000	5.224157	1911	2141032192.000000
281474976710655.000000	5.151341	1912	2142100352.000000
281474976710655.000000	5.203701	1913	2143112064.000000
281474976710655.000000	5.013720	1914	2144179968.000000
