crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	5.323786	3082	3588978432.000000
281474976710655.000000	5.151273	3083	3590015232.000000
281474976710655.000000	5.584892	3084	3591094016.000000
281474976710655.000000	4.930357	3085	3592131328.000000
281474976710655.000000	5.177006	3086	3593210368.000000
281474976710655.000000	5.265348	3087	3594247936.000000
281474976710655.000000	5.233082	3088	3595325696.000000
281474976710655.000000	5.321666	3089	3596364544.000000
281474976710655.000000	5.552749	3090	3597441280.000000
281474976710655.000000	4.882654	3091	3598481152.000000
281474976710655.000000	5.294382	3092	3599557120.000000
281474976710655.000000	4.898099	3093	3600597248.000000
281474976710655.000000	5.140658	3094	3601672704.000000
281474976710655.000000	5.279654	3095	3602713344.000000
281474976710655.000000	5.303972	3096	3603788032.000000
281474976710655.000000	5.181704	3097	3604830208.000000
281474976710655.000000	5.709107	3098	3605904384.000000
281474976710655.000000	4.915567	3099	3606946048.000000
281474976710655.000000	5.185326	3100	3608019968.000000
281474976710655.000000	5.164196	3101	3609062400.000000
281474976710655.000000	5.143572	3102	3610136064.000000
281474976710655.000000	5.277398	3103	3611178496.000000
281474976710655.000000	5.489191	3104	3612252416.000000
281474976710655.000000	5.063723	3105	3613294080.000000
281474976710655.000000	5.460538	3106	3614368768.000000
281474976710655.000000	5.081545	3107	3615409408.000000
281474976710655.000000	5.027916	3108	3616485120.000000
281474976710655.000000	5.162957	3109	3617525248.000000
281474976710655.000000	5.301848	3110	3618601472.000000
281474976710655.000000	5.204091	3111	3619641088.000000
281474976710655.000000	5.664741	3112	3620718080.000000
281474976710655.000000	5.120125	3113	3621756160.000000
281474976710655.000000	5.286481	3114	3622834688.000000
281474976710655.000000	5.488694	3115	3623871744.000000
281474976710655.000000	5.348593	3116	3624950272.000000
281474976710655.000000	4.895286	3117	3625988096.000000
281474976710655.000000	5.376311	3118	3627067904.000000
281474976710655.000000	5.288980	3119	3628103680.000000
281474976710655.000000	5.249695	3120	3629183488.000000
281474976710655.000000	5.344476	3121	3630219264.000000
281474976710655.000000	5.536366	3122	3631299584.000000
281474976710655.000000	5.069036	3123	3632335616.000000
281474976710655.000000	5.443885	3124	3633415936.000000
281474976710655.000000	5.008262	3125	3634451968.000000
281474976710655.000000	5.642432	3126	3635531776.000000
281474976710655.000000	5.503738	3127	3636567296.000000
281474976710655.000000	5.477548	3128	3637648384.000000
281474976710655.000000	5.312650	3129	3638683392.000000
281474976710655.000000	5.676939	3130	3639763712.000000
281474976710655.000000	4.945302	3131	3640799744.000000
281474976710655.000000	5.310827	3132	3641879552.000000
281474976710655.000000	4.717297	3133	3642915840.000000
281474976710655.000000	5.029648	3134	3643996160.000000
281474976710655.000000	5.268225	3135	3645031936.000000
281474976710655.000000	5.464847	3136	3646110976.000000
281474976710655.000000	5.098983	3137	3647148800.000000
281474976710655.000000	5.477260	3138	3648227584.000000
281474976710655.000000	4.989298	3139	3649264640.000000
281474976710655.000000	5.184061	3140	3650343168.000000
281474976710655.000000	5.144172	3141	3651380992.000000
281474976710655.000000	5.099634	3142	3652458752.000000
281474976710655.000000	5.250212	3143	3653497600.000000
281474976710655.000000	5.524513	3144	3654574336.000000
281474976710655.000000	4.942047	3145	3655613952.000000
281474976710655.000000	5.405946	3146	3656689920.000000
281474976710655.000000	4.921405	3147	3657730048.000000
281474976710655.000000	5.126550	3148	3658805760.000000
281474976710655.000000	5.316711	3149	3659846656.000000
281474976710655.000000	5.436708	3150	3660921344.000000
281474976710655.000000	5.252030	3151	3661963008.000000
281474976710655.000000	5.604164	3152	3663037696.000000
281474976710655.000000	4.911661	3153	3664078848.000000
281474976710655.000000	5.231095	3154	3665153792.000000
281474976710655.000000	4.972772	3155	3666194944.000000
281474976710655.000000	5.119245	3156	3667269376.000000
281474976710655.000000	5.303508	3157	3668311296.000000
281474976710655.000000	5.525431	3158	3669385984.000000
281474976710655.000000	4.953867	3159	3670427136.000000
281474976710655.000000	5.435211	3160	3671502592.000000
281474976710655.000000	5.077269	3161	3672542208.000000
281474976710655.000000	5.150718	3162	3673618688.000000
281474976710655.000000	5.258148	3163	3674658048.000000
281474976710655.000000	5.359509	3164	3675734784.000000
281474976710655.000000	5.221563	3165	3676774400.000000
281474976710655.000000	5.518883	3166	3677851648.000000
281474976710655.000000	4.925454	3167	3678889472.000000
281474976710655.000000	5.205646	3168	3679968000.000000
281474976710655.000000	5.044632	3169	3681004800.000000
281474976710655.000000	5.076575	3170	3682084608.000000
281474976710655.000000	5.084661	3171	3683120896.000000
281474976710655.000000	5.138154	3172	3684201216.000000
281474976710655.000000	5.170144	3173	3685236992.000000
281474976710655.000000	5.614226	3174	3686317056.000000
281474976710655.000000	5.118508	3175	3687352576.000000
281474976710655.000000	5.459352	3176	3688432896.000000
281474976710655.000000	4.935762	3177	3689468416.000000
281474976710655.000000	5.138699	3178	3690548992.000000
281474976710655.000000	5.194932	3179	3691584512.000000
281474976710655.000000	5.033673	3180	3692665344.000000
281474976710655.000000	5.910411	3181	3693701120.000000
281474976710655.000000	6.017171	3182	3694780672.000000
281474976710655.000000	5.193552	3183	3695816960.000000
281474976710655.000000	5.780911	3184	3696896768.000000
281474976710655.000000	5.019023	3185	3697932288.000000
281474976710655.000000	5.404281	3186	3699013376.000000
281474976710655.000000	5.405313	3187	3700049152.000000
281474976710655.000000	5.420142	3188	3701128192.000000
281474976710655.000000	5.021786	3189	3702165760.000000
281474976710655.000000	5.443571	3190	3703244800.000000
281474976710655.000000	5.108049	3191	3704281088.000000
281474976710655.000000	5.299997	3192	3705360896.000000
281474976710655.000000	5.191265	3193	3706397952.000000
281474976710655.000000	5.403178	3194	3707476480.000000
281474976710655.000000	5.075408	3195	3708514560.000000
281474976710655.000000	5.733891	3196	3709592576.000000
281474976710655.000000	5.005941	3197	3710630400.000000
281474976710655.000000	5.345229	3198	3711708160.000000
281474976710655.000000	5.083972	3199	3712746752.000000
281474976710655.000000	5.168669	3200	3713823744.000000
281474976710655.000000	5.142168	3201	3714863872.000000
281474976710655.000000	5.389875	3202	3715939584.000000
281474976710655.000000	4.973186	3203	3716979456.000000
281474976710655.000000	5.139143	3204	3718055936.000000
281474976710655.000000	5.130189	3205	3719095296.000000
281474976710655.000000	5.393370	3206	3720171520.000000
281474976710655.000000	5.164534	3207	3721211648.000000
