crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	5.391940	1853	2056442752.000000
281474976710655.000000	5.402792	1854	2057472000.000000
281474976710655.000000	5.421674	1855	2058521472.000000
281474976710655.000000	5.354874	1856	2059550976.000000
281474976710655.000000	5.432534	1857	2060599936.000000
281474976710655.000000	5.367130	1858	2061629696.000000
281474976710655.000000	5.365760	1859	2062677632.000000
281474976710655.000000	5.373836	1860	2063709568.000000
281474976710655.000000	5.354240	1861	2064754944.000000
281474976710655.000000	5.407736	1862	2065789696.000000
281474976710655.000000	5.454082	1863	2066832128.000000
281474976710655.000000	5.363312	1864	2067869952.000000
281474976710655.000000	5.411611	1865	2068908928.000000
281474976710655.000000	5.348002	1866	2069950592.000000
281474976710655.000000	5.455530	1867	2070985600.000000
281474976710655.000000	5.342757	1868	2072031488.000000
281474976710655.000000	5.400692	1869	2073062272.000000
281474976710655.000000	5.377720	1870	2074111616.000000
281474976710655.000000	5.389686	1871	2075139456.000000
281474976710655.000000	5.422303	1872	2076191488.000000
281474976710655.000000	5.368723	1873	2077217408.000000
281474976710655.000000	5.399471	1874	2078270080.000000
281474976710655.000000	5.264116	1875	2079296384.000000
281474976710655.000000	5.316550	1876	2080348032.000000
281474976710655.000000	5.341437	1877	2081375872.000000
281474976710655.000000	5.377719	1878	2082425856.000000
281474976710655.000000	5.339842	1879	2083455488.000000
281474976710655.000000	5.351130	1880	2084503296.000000
281474976710655.000000	5.220381	1881	2085535232.000000
281474976710655.000000	5.484091	1882	2086580864.000000
281474976710655.000000	5.319538	1883	2087614848.000000
281474976710655.000000	5.430649	1884	2088658560.000000
281474976710655.000000	5.215516	1885	2089694080.000000
281474976710655.000000	5.460312	1886	2090736640.000000
281474976710655.000000	5.262747	1887	2091772928.000000
281474976710655.000000	5.452017	1888	2092815104.000000
281474976710655.000000	5.413109	1889	2093851392.000000
281474976710655.000000	5.254455	1890	2094894592.000000
281474976710655.000000	5.488282	1891	2095929088.000000
281474976710655.000000	5.380565	1892	2096974208.000000
281474976710655.000000	5.481300	1893	2098006656.000000
281474976710655.000000	5.393764	1894	2099054080.000000
281474976710655.000000	5.498014	1895	2100083840.000000
281474976710655.000000	5.480449	1896	2101133824.000000
281474976710655.000000	5.301109	1897	2102161280.000000
281474976710655.000000	5.417854	1898	2103213568.000000
281474976710655.000000	5.436835	1899	2104239104.000000
281474976710655.000000	5.373550	1900	2105292800.000000
281474976710655.000000	5.396647	1901	2106317696.000000
281474976710655.000000	5.372987	1902	2107371136.000000
281474976710655.000000	5.264380	1903	2108397056.000000
281474976710655.000000	5.362182	1904	2109448576.000000
281474976710655.000000	5.397440	1905	2110477056.000000
281474976710655.000000	5.384917	1906	2111525760.000000
281474976710655.000000	5.502923	1907	2112557184.000000
281474976710655.000000	5.412613	1908	2113602816.000000
281474976710655.000000	5.439731	1909	2114637696.000000
281474976710655.000000	5.441396	1910	2115679616.000000
281474976710655.000000	5.319705	1911	2116718464.000000
281474976710655.000000	5.451050	1912	2117756672.000000
281474976710655.000000	5.327371	1913	2118798208.000000
281474976710655.000000	5.497532	1914	2119833984.000000
281474976710655.000000	5.501024	1915	2120877696.000000
281474976710655.000000	5.388474	1916	2121911936.000000
281474976710655.000000	5.447836	1917	2122956800.000000
281474976710655.000000	5.362944	1918	2123990400.000000
281474976710655.000000	5.358083	1919	2125035520.000000
281474976710655.000000	5.362985	1920	2126069632.000000
281474976710655.000000	5.347781	1921	2127113728.000000
281474976710655.000000	5.492361	1922	2128148608.000000
281474976710655.000000	5.345559	1923	2129191936.000000
281474976710655.000000	5.453292	1924	2130227968.000000
281474976710655.000000	5.482738	1925	2131268992.000000
281474976710655.000000	5.306479	1926	2132308480.000000
281474976710655.000000	5.559181	1927	2133346048.000000
281474976710655.000000	5.393885	1928	2134388864.000000
281474976710655.000000	5.308935	1929	2135422976.000000
281474976710655.000000	5.394066	1930	2136469248.000000
281474976710655.000000	5.457349	1931	2137499904.000000
281474976710655.000000	5.390531	1932	2138549376.000000
281474976710655.000000	5.351902	1933	2139577088.000000
281474976710655.000000	5.379142	1934	2140628992.000000
281474976710655.000000	5.259828	1935	2141655424.000000
281474976710655.000000	5.339815	1936	2142708096.000000
281474976710655.000000	5.485945	1937	2143733376.000000
281474976710655.000000	5.431002	1938	2144786944.000000
281474976710655.000000	5.398292	1939	2145812224.000000
281474976710655.000000	5.372878	1940	2146865152.000000
281474976710655.000000	5.372859	1941	2147891200.000000
281474976710655.000000	5.409105	1942	2148942848.000000
281474976710655.000000	5.460371	1943	2149970944.000000
281474976710655.000000	5.550081	1944	2151020544.000000
281474976710655.000000	5.291111	1945	2152050688.000000
281474976710655.000000	5.431156	1946	2153098240.000000
281474976710655.000000	5.451908	1947	2154129920.000000
281474976710655.000000	5.370548	1948	2155176448.000000
281474976710655.000000	5.520822	1949	2156208640.000000
281474976710655.000000	5.268964	1950	2157254656.000000
281474976710655.000000	5.686087	1951	2158287616.000000
281474976710655.000000	5.546944	1952	2159333632.000000
281474976710655.000000	5.370935	1953	2160365312.000000
281474976710655.000000	5.372275	1954	2161412608.000000
281474976710655.000000	5.320086	1955	2162443520.000000
281474976710655.000000	5.377942	1956	2163492352.000000
281474976710655.000000	5.365941	1957	2164521216.000000
281474976710655.000000	5.407249	1958	2165571840.000000
281474976710655.000000	5.349000	1959	2166599424.000000
281474976710655.000000	5.413415	1960	2167651072.000000
281474976710655.000000	5.538377	1961	2168677376.000000
281474976710655.000000	5.443857	1962	2169730304.000000
281474976710655.000000	5.384120	1963	2170754560.000000
281474976710655.000000	5.481140	1964	2171809024.000000
281474976710655.000000	5.343309	1965	2172834304.000000
281474976710655.000000	5.394467	1966	2173886976.000000
281474976710655.000000	5.347779	1967	2174913536.000000
281474976710655.000000	5.408288	1968	2175964672.000000
281474976710655.000000	5.406557	1969	2176993792.000000
281474976710655.000000	5.436448	1970	2178041856.000000
281474976710655.000000	5.469900	1971	2179073792.000000
281474976710655.000000	5.467702	1972	2180118784.000000
281474976710655.000000	5.433756	1973	2181154048.000000
281474976710655.000000	5.463037	1974	2182195968.000000
281474976710655.000000	5.395730	1975	2183234304.000000
281474976710655.000000	5.422514	1976	2184273408.000000
281474976710655.000000	5.425741	1977	2185314048.000000
281474976710655.000000	5.287480	1978	2186351360.000000
281474976710655.000000	4.511531	1979	2187393536.000000
281474976710655.000000	5.409448	1980	2188429568.000000
281474976710655.000000	5.286550	1981	2189472000.000000
281474976710655.000000	5.525023	1982	2190507776.000000
281474976710655.000000	5.393815	1983	2191550720.000000
281474976710655.000000	5.361643	1984	2192587264.000000
281474976710655.000000	5.502291	1985	2193628672.000000
281474976710655.000000	5.452124	1986	2194666752.000000
281474976710655.000000	5.430542	1987	2195706112.000000
281474976710655.000000	5.482888	1988	2196746496.000000
281474976710655.000000	5.464142	1989	2197783552.000000
281474976710655.000000	5.483084	1990	2198826496.000000
281474976710655.000000	5.388022	1991	2199860736.000000
281474976710655.000000	5.406513	1992	2200906752.000000
281474976710655.000000	5.333954	1993	2201937920.000000
281474976710655.000000	5.326262	1994	2202987008.000000
281474976710655.000000	5.523843	1995	2204015104.000000
281474976710655.000000	5.362123	1996	2205066496.000000
281474976710655.000000	5.286428	1997	2206092800.000000
281474976710655.000000	5.431912	1998	2207146240.000000
281474976710655.000000	5.491886	1999	2208170752.000000
281474976710655.000000	5.510391	2000	2209224960.000000
281474976710655.000000	5.347800	2001	2210249216.000000
281474976710655.000000	5.369885	2002	2211302912.000000
281474976710655.000000	5.343576	2003	2212328960.000000
281474976710655.000000	5.310679	2004	2213381376.000000
281474976710655.000000	5.424535	2005	2214408192.000000
281474976710655.000000	5.429994	2006	2215458816.000000
281474976710655.000000	5.350565	2007	2216486912.000000
281474976710655.000000	5.410861	2008	2217536768.000000
281474976710655.000000	5.391742	2009	2218566656.000000
281474976710655.000000	5.422510	2010	2219614976.000000
281474976710655.000000	5.467780	2011	2220645888.000000
281474976710655.000000	5.418073	2012	2221693184.000000
281474976710655.000000	5.528043	2013	2222724096.000000
281474976710655.000000	5.397806	2014	2223771648.000000
281474976710655.000000	5.455499	2015	2224802560.000000
281474976710655.000000	5.143831	2016	2225850624.000000
281474976710655.000000	5.296603	2017	2226881024.000000
281474976710655.000000	5.497986	2018	2227930112.000000
281474976710655.000000	5.492957	2019	2228958976.000000
281474976710655.000000	5.445595	2020	2230009344.000000
281474976710655.000000	5.399786	2021	2231036928.000000
281474976710655.000000	5.335421	2022	2232088832.000000
281474976710655.000000	5.254792	2023	2233114624.000000
281474976710655.000000	5.437163	2024	2234167296.000000
281474976710655.000000	5.433338	2025	2235193088.000000
281474976710655.000000	5.415209	2026	2236247040.000000
281474976710655.000000	5.437207	2027	2237271552.000000
281474976710655.000000	5.447652	2028	2238324736.000000
281474976710655.000000	5.318438	2029	2239350528.000000
281474976710655.000000	5.307068	2030	2240402688.000000
281474976710655.000000	5.368693	2031	2241430528.000000
281474976710655.000000	5.362682	2032	2242480384.000000
281474976710655.000000	5.438695	2033	2243510528.000000
281474976710655.000000	5.400998	2034	2244557568.000000
281474976710655.000000	5.497441	2035	2245590272.000000
281474976710655.000000	5.380345	2036	2246635264.000000
281474976710655.000000	5.478647	2037	2247670272.000000
281474976710655.000000	5.508895	2038	2248712448.000000
281474976710655.000000	5.368356	2039	2249750016.000000
281474976710655.000000	5.592603	2040	2250790144.000000
281474976710655.000000	5.484265	2041	2251829760.000000
281474976710655.000000	5.342097	2042	2252868096.000000
281474976710655.000000	5.389413	2043	2253908224.000000
281474976710655.000000	5.424894	2044	2254946816.000000
281474976710655.000000	5.492712	2045	2255986944.000000
281474976710655.000000	5.357327	2046	2257025280.000000
281474976710655.000000	5.361091	2047	2258065152.000000
281474976710655.000000	5.442797	2048	2259105280.000000
281474976710655.000000	5.405783	2049	2260142848.000000
281474976710655.000000	5.254102	2050	2261184768.000000
281474976710655.000000	5.372965	2051	2262220544.000000
281474976710655.000000	5.511240	2052	2263264000.000000
281474976710655.000000	5.318612	2053	2264297984.000000
281474976710655.000000	5.420146	2054	2265344256.000000
281474976710655.000000	5.562040	2055	2266375168.000000
281474976710655.000000	5.454661	2056	2267424000.000000
281474976710655.000000	5.198834	2057	2268453120.000000
281474976710655.000000	5.417718	2058	2269503744.000000
281474976710655.000000	5.410136	2059	2270530560.000000
281474976710655.000000	5.328152	2060	2271583232.000000
281474976710655.000000	5.501319	2061	2272609024.000000
281474976710655.000000	5.335594	2062	2273661440.000000
281474976710655.000000	5.481612	2063	2274687744.000000
281474976710655.000000	5.426731	2064	2275740416.000000
281474976710655.000000	5.462978	2065	2276766464.000000
281474976710655.000000	5.442357	2066	2277818368.000000
281474976710655.000000	5.430362	2067	2278845952.000000
281474976710655.000000	5.465827	2068	2279896320.000000
