crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	4.740916	1895	2282163200.000000
281474976710655.000000	5.136158	1896	2283232768.000000
281474976710655.000000	4.657464	1897	2284281600.000000
281474976710655.000000	4.972761	1898	2285354496.000000
281474976710655.000000	4.733623	1899	2286401024.000000
281474976710655.000000	5.260721	1900	2287474688.000000
281474976710655.000000	5.139730	1901	2288523776.000000
281474976710655.000000	5.140744	1902	2289595648.000000
281474976710655.000000	4.902550	1903	2290648064.000000
281474976710655.000000	4.769022	1904	2291716096.000000
281474976710655.000000	4.728461	1905	2292773888.000000
281474976710655.000000	5.568521	1906	2293835264.000000
281474976710655.000000	4.709287	1907	2294900736.000000
281474976710655.000000	5.734156	1908	2295952896.000000
281474976710655.000000	4.670302	1909	2297024256.000000
281474976710655.000000	5.859112	1910	2298069760.000000
281474976710655.000000	4.590755	1911	2299145984.000000
281474976710655.000000	5.273357	1912	2300187136.000000
281474976710655.000000	4.894483	1913	2301264896.000000
281474976710655.000000	5.329248	1914	2302305536.000000
281474976710655.000000	5.670291	1915	2303385344.000000
281474976710655.000000	4.249650	1916	2304424192.000000
281474976710655.000000	5.169270	1917	2305505536.000000
281474976710655.000000	4.357467	1918	2306543104.000000
281474976710655.000000	4.953985	1919	2307626752.000000
281474976710655.000000	4.688969	1920	2308662528.000000
281474976710655.000000	5.184561	1921	2309745152.000000
281474976710655.000000	4.699011	1922	2310781440.000000
281474976710655.000000	4.966318	1923	2311863552.000000
281474976710655.000000	5.033867	1924	2312900608.000000
281474976710655.000000	5.120214	1925	2313981696.000000
281474976710655.000000	5.723188	1926	2315018240.000000
281474976710655.000000	5.405149	1927	2316097792.000000
281474976710655.000000	5.368718	1928	2317135360.000000
281474976710655.000000	5.119498	1929	2318212864.000000
281474976710655.000000	5.054038	1930	2319259648.000000
281474976710655.000000	4.617491	1931	2320331264.000000
281474976710655.000000	5.145342	1932	2321387264.000000
281474976710655.000000	4.446571	1933	2322451200.000000
281474976710655.000000	5.021636	1934	2323514368.000000
281474976710655.000000	4.332264	1935	2324571136.000000
281474976710655.000000	5.107709	1936	2325639936.000000
281474976710655.000000	4.617840	1937	2326691584.000000
281474976710655.000000	4.856429	1938	2327763712.000000
281474976710655.000000	4.394850	1939	2328815616.000000
281474976710655.000000	5.071281	1940	2329886208.000000
281474976710655.000000	4.582010	1941	2330938368.000000
281474976710655.000000	4.826488	1942	2332006144.000000
281474976710655.000000	4.656214	1943	2333062144.000000
281474976710655.000000	4.947698	1944	2334125312.000000
